Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Fri,"Sep 18, 1970",11:00,@,Los Angeles Rams,W 34-13,W -10.5,,St Louis Cardinals,,
Sat,"Sep 19, 1970",8:00,@,New York Giants,L 16-24,L -3,,Chicago Bears,,
Sun,"Sep 20, 1970",1:00,,Miami Dolphins,L 14-27,L -7,@,Boston Patriots,,
Sun,"Sep 20, 1970",1:00,,Denver Broncos,W 25-10,W -4,@,Buffalo Bills,,
Sun,"Sep 20, 1970",1:00,,Oakland Raiders,L 21-31,L -11,@,Cincinnati Bengals,,
Sun,"Sep 20, 1970",1:00,,Dallas Cowboys,W 17-7,L -13,@,Philadelphia Eagles,,
Sun,"Sep 20, 1970",1:00,@,Pittsburgh Steelers,L 7-19,L -5,,Houston Oilers,,
Sun,"Sep 20, 1970",1:30,,Atlanta Falcons,W 14-3,W -3,@,New Orleans Saints,,
Sun,"Sep 20, 1970",2:00,@,Green Bay Packers,L 0-40,L -3,,Detroit Lions,,
Sun,"Sep 20, 1970",4:00,@,Minnesota Vikings,W 27-10,W -4,,Kansas City Chiefs,,
Sun,"Sep 20, 1970",4:00,,Baltimore Colts,W 16-14,L -4,@,San Diego Chargers,,
Sun,"Sep 20, 1970",4:00,@,San Francisco 49ers,W 26-17,W -2,,Washington Redskins,,
Mon,"Sep 21, 1970",9:00,@,Cleveland Browns,W 31-21,W -3,,New York Jets,,
