Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Sat,"Dec 5, 1970",1:15,@,Minnesota Vikings,W 16-13,L -13,,Chicago Bears,,
Sun,"Dec 6, 1970",1:00,@,Detroit Lions,W 16-3,W -5,,St Louis Cardinals,,
Sun,"Dec 6, 1970",1:00,@,Miami Dolphins,W 37-20,W -12,,Boston Patriots,,
Sun,"Dec 6, 1970",1:00,@,New York Giants,W 20-6,W -13,,Buffalo Bills,,
Sun,"Dec 6, 1970",1:00,,Oakland Raiders,W 14-13,L -7,@,New York Jets,,
Sun,"Dec 6, 1970",1:00,,Green Bay Packers,W 20-12,W -1,@,Pittsburgh Steelers,,
Sun,"Dec 6, 1970",2:00,@,Baltimore Colts,W 29-10,W -7,,Philadelphia Eagles,,
Sun,"Dec 6, 1970",2:00,@,Kansas City Chiefs,W 16-0,W -9,,Denver Broncos,,
Sun,"Dec 6, 1970",4:00,@,Dallas Cowboys,W 34-0,W -7,,Washington Redskins,,
Sun,"Dec 6, 1970",4:00,@,Los Angeles Rams,W 34-16,W -15,,New Orleans Saints,,
Sun,"Dec 6, 1970",4:00,@,San Diego Chargers,L 14-17,L -3.5,,Cincinnati Bengals,,
Sun,"Dec 6, 1970",4:00,@,San Francisco 49ers,W 24-20,L -8,,Atlanta Falcons,,
Mon,"Dec 7, 1970",9:00,,Cleveland Browns,W 21-10,W -3.5,@,Houston Oilers,,
