Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sat,"Oct 10, 1970",8:45,@,New York Jets,L 6-20,L -4,,Miami Dolphins,,
Sun,"Oct 11, 1970",1:00,@,Cleveland Browns,W 30-27,L -10,,Cincinnati Bengals,,
Sun,"Oct 11, 1970",1:00,@,New York Giants,W 30-23,L -8,,Philadelphia Eagles,,
Sun,"Oct 11, 1970",1:00,@,Pittsburgh Steelers,W 23-10,W -7,,Buffalo Bills,,
Sun,"Oct 11, 1970",1:00,,Detroit Lions,L 10-31,L -9,@,Washington Redskins,,
Sun,"Oct 11, 1970",2:00,,Minnesota Vikings,W 24-0,W -8,@,Chicago Bears,,
Sun,"Oct 11, 1970",2:00,@,Dallas Cowboys,W 13-0,W -4,,Atlanta Falcons,,
Sun,"Oct 11, 1970",2:00,@,St Louis Cardinals,W 24-17,L -11,,New Orleans Saints,,
Sun,"Oct 11, 1970",4:00,,Baltimore Colts,W 24-20,W -2,@,Houston Oilers,,
Sun,"Oct 11, 1970",4:00,@,Kansas City Chiefs,W 23-10,L -18,,Boston Patriots,,
Sun,"Oct 11, 1970",4:00,@,Los Angeles Rams,L 6-20,L -9.5,,San Francisco 49ers,,
Sun,"Oct 11, 1970",4:00,@,Oakland Raiders,W 35-23,W -7,,Denver Broncos,,
Mon,"Oct 12, 1970",9:00,,Green Bay Packers,W 22-20,L -3.5,@,San Diego Chargers,,
