Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Sat,"Oct 23, 1976",10:00,@,San Francisco 49ers,W 15-0,W -13,,Atlanta Falcons,,
Sun,"Oct 24, 1976",1:00,,New England Patriots,W 26-22,L -6,@,Buffalo Bills,,
Sun,"Oct 24, 1976",1:00,@,Cleveland Browns,W 21-17,W -1,,San Diego Chargers,,
Sun,"Oct 24, 1976",1:00,,Pittsburgh Steelers,W 27-0,W -7.5,@,New York Giants,,
Sun,"Oct 24, 1976",1:00,,Baltimore Colts,W 20-0,W -17,@,New York Jets,,
Sun,"Oct 24, 1976",1:00,,Minnesota Vikings,W 31-12,W -10,@,Philadelphia Eagles,,
Sun,"Oct 24, 1976",2:00,@,Dallas Cowboys,W 31-21,W -8,,Chicago Bears,,
Sun,"Oct 24, 1976",2:00,,Denver Broncos,W 35-26,W -5.5,@,Kansas City Chiefs,,
Sun,"Oct 24, 1976",2:00,,Los Angeles Rams,W 16-10,L -12,@,New Orleans Saints,,
Sun,"Oct 24, 1976",4:00,,Cincinnati Bengals,W 27-7,W -2,@,Houston Oilers,,
Sun,"Oct 24, 1976",4:00,@,Oakland Raiders,W 18-14,L -14,,Green Bay Packers,,
Sun,"Oct 24, 1976",4:00,,Detroit Lions,W 41-14,W -7,@,Seattle Seahawks,,
Sun,"Oct 24, 1976",4:00,,Miami Dolphins,W 23-20,L -13.5,@,Tampa Bay Buccaneers,,
Mon,"Oct 25, 1976",9:00,,St Louis Cardinals,L 10-20,L -3.5,@,Washington Redskins,,
