Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Sep 11, 1980",9:00,@,Tampa Bay Buccaneers,W 10-9,L -3,,Los Angeles Rams,U 40,
Sun,"Sep 14, 1980",1:00,@,Buffalo Bills,W 20-10,W PK,,New York Jets,U 34,
Sun,"Sep 14, 1980",1:00,@,Minnesota Vikings,L 7-42,L -4,,Philadelphia Eagles,O 40,
Sun,"Sep 14, 1980",1:00,@,New England Patriots,L 21-37,L -8,,Atlanta Falcons,O 49,
Sun,"Sep 14, 1980",2:00,,Pittsburgh Steelers,W 20-17,L -7,@,Baltimore Colts,U 40,
Sun,"Sep 14, 1980",2:00,@,Chicago Bears,W 22-3,W -4,,New Orleans Saints,U 37,
Sun,"Sep 14, 1980",2:00,,Detroit Lions,W 29-7,W -4,@,Green Bay Packers,U 38,at Milwaukee
Sun,"Sep 14, 1980",2:00,@,Kansas City Chiefs,L 16-17,L -2,,Seattle Seahawks,U 38,
Sun,"Sep 14, 1980",4:00,@,Denver Broncos,W 41-20,W -2,,Dallas Cowboys,O 40,
Sun,"Sep 14, 1980",4:00,@,Miami Dolphins,W 17-16,L -7,,Cincinnati Bengals,U 35,
Sun,"Sep 14, 1980",4:00,,Washington Redskins,W 23-21,L -4,@,New York Giants,O 38,
Sun,"Sep 14, 1980",4:00,@,San Diego Chargers,W 30-24 (OT),L -7,,Oakland Raiders,O 44,
Sun,"Sep 14, 1980",4:00,@,San Francisco 49ers,W 24-21 (OT),P -3,,St Louis Cardinals,O 42,
Mon,"Sep 15, 1980",9:00,,Houston Oilers,W 16-7,W -4,@,Cleveland Browns,U 44,
