Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sat,"Sep 5, 1981",8:00,@,Tampa Bay Buccaneers,W 21-13,W -1,,Minnesota Vikings,U 37,
Sun,"Sep 6, 1981",1:00,@,Atlanta Falcons,W 27-0,W -10,,New Orleans Saints,U 45,
Sun,"Sep 6, 1981",1:00,@,Cincinnati Bengals,W 27-21,W -4,,Seattle Seahawks,O 41,
Sun,"Sep 6, 1981",1:00,@,Detroit Lions,W 24-17,W -4,,San Francisco 49ers,O 40,
Sun,"Sep 6, 1981",1:00,@,New England Patriots,L 28-29,L -6,,Baltimore Colts,O 45,
Sun,"Sep 6, 1981",1:00,,Philadelphia Eagles,W 24-10,W -6,@,New York Giants,U 38,
Sun,"Sep 6, 1981",1:00,@,Pittsburgh Steelers,L 33-37,L -10,,Kansas City Chiefs,O 37,
Sun,"Sep 6, 1981",1:00,@,St Louis Cardinals,L 7-20,L PK,,Miami Dolphins,U 38,
Sun,"Sep 6, 1981",1:00,,Dallas Cowboys,W 26-10,W -2,@,Washington Redskins,U 38,
Sun,"Sep 6, 1981",2:00,@,Chicago Bears,L 9-16,L -4,,Green Bay Packers,U 37,
Sun,"Sep 6, 1981",4:00,@,Buffalo Bills,W 31-0,W -4,,New York Jets,U 41,
Sun,"Sep 6, 1981",4:00,,Oakland Raiders,L 7-9,L -3,@,Denver Broncos,U 38,
Sun,"Sep 6, 1981",4:00,@,Los Angeles Rams,L 20-27,L -6,,Houston Oilers,O 38,
Mon,"Sep 7, 1981",9:00,@,Cleveland Browns,L 14-44,L -2,,San Diego Chargers,O 45,
