Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,Nov 8 1981,1:00,@,Green Bay Packers,W 26-24,L -3,,New York Giants,O 38,at Milwaukee
Sun,Nov 8 1981,1:00,@,Houston Oilers,W 17-16,W PK,,Oakland Raiders,U 36,
Sun,Nov 8 1981,1:00,@,Minnesota Vikings,W 25-10,W -5,,Tampa Bay Buccaneers,U 40,
Sun,Nov 8 1981,1:00,@,New England Patriots,L 27-30 (OT),L -3,,Miami Dolphins,O 46,
Sun,Nov 8 1981,1:00,,Philadelphia Eagles,W 52-10,W -4.5,@,St Louis Cardinals,O 42,
Sun,Nov 8 1981,1:00,@,Washington Redskins,W 33-31,P -2,,Detroit Lions,O 44,
Sun,Nov 8 1981,2:00,@,Kansas City Chiefs,L 13-16 (OT),L -8,,Chicago Bears,U 40,
Sun,Nov 8 1981,4:00,,New York Jets,W 41-14,W -3,@,Baltimore Colts,O 48,
Sun,Nov 8 1981,4:00,@,Denver Broncos,W 23-20 (OT),L -4,,Cleveland Browns,O 38,
Sun,Nov 8 1981,4:00,@,Los Angeles Rams,L 13-21,L -11,,New Orleans Saints,U 42,
Sun,Nov 8 1981,4:00,@,San Diego Chargers,L 17-40,L -4,,Cincinnati Bengals,O 48,
Sun,Nov 8 1981,4:00,,Atlanta Falcons,L 14-17,L -2.5,@,San Francisco 49ers,U 44,
Sun,Nov 8 1981,4:00,,Pittsburgh Steelers,L 21-24,L -5,@,Seattle Seahawks,O 43,
Mon,Nov 9 1981,9:00,@,Dallas Cowboys,W 27-14,W -3.5,,Buffalo Bills,U 42,
