Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Dec 3, 1981",9:00,@,Houston Oilers,W 17-13,W -2.5,,Cleveland Browns,U 41,
Sun,"Dec 6, 1981",1:00,,Minnesota Vikings,L 9-10,L -3,@,Chicago Bears,U 41,
Sun,"Dec 6, 1981",1:00,@,Cincinnati Bengals,L 3-21,L -7,,San Francisco 49ers,U 42,
Sun,"Dec 6, 1981",1:00,,Detroit Lions,L 17-31,L -2,@,Green Bay Packers,O 41,
Sun,"Dec 6, 1981",1:00,@,Miami Dolphins,W 24-14,W -6.5,,New England Patriots,U 44,
Sun,"Dec 6, 1981",1:00,@,New York Giants,W 10-7,L -3.5,,Los Angeles Rams,U 39,
Sun,"Dec 6, 1981",1:00,@,St Louis Cardinals,W 30-3,W -6.5,,New Orleans Saints,U 45,
Sun,"Dec 6, 1981",1:00,,Philadelphia Eagles,L 13-15,L -4,@,Washington Redskins,U 41,
Sun,"Dec 6, 1981",2:00,,Dallas Cowboys,W 37-13,W -13.5,@,Baltimore Colts,O 45,
Sun,"Dec 6, 1981",4:00,@,Denver Broncos,W 16-13,L -3.5,,Kansas City Chiefs,U 40,
Sun,"Dec 6, 1981",4:00,@,San Diego Chargers,L 27-28,L -4.5,,Buffalo Bills,O 46,
Sun,"Dec 6, 1981",4:00,,New York Jets,L 23-27,L -9,@,Seattle Seahawks,O 40,
Sun,"Dec 6, 1981",4:00,,Atlanta Falcons,L 23-24,L -3,@,Tampa Bay Buccaneers,O 41,
Mon,"Dec 7, 1981",9:00,,Pittsburgh Steelers,L 27-30,L -4,@,Oakland Raiders,O 44,
