Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Sep 8, 1983",8:30,@,Minnesota Vikings,L 17-48,L -3,,San Francisco 49ers,O 42,
Sun,"Sep 11, 1983",1:00,@,Atlanta Falcons,L 13-16 (OT),L -3.5,,New York Giants,U 36,
Sun,"Sep 11, 1983",1:00,@,Chicago Bears,W 17-10,W -2.5,,Tampa Bay Buccaneers,U 35.5,
Sun,"Sep 11, 1983",1:00,@,Cincinnati Bengals,L 6-10,L -7,,Buffalo Bills,U 36.5,
Sun,"Sep 11, 1983",1:00,@,Detroit Lions,L 26-31,L -3,,Cleveland Browns,O 39,
Sun,"Sep 11, 1983",1:00,@,Green Bay Packers,L 21-25,L -1,,Pittsburgh Steelers,O 45,
Sun,"Sep 11, 1983",1:00,@,Philadelphia Eagles,L 13-23,L PK,,Washington Redskins,U 40,
Sun,"Sep 11, 1983",1:00,,Dallas Cowboys,W 34-17,W -4,@,St Louis Cardinals,O 42,
Sun,"Sep 11, 1983",4:00,,Denver Broncos,W 17-10,W -3,@,Baltimore Colts,U 35,
Sun,"Sep 11, 1983",4:00,@,Los Angeles Raiders,W 20-6,W -10,,Houston Oilers,U 44,
Sun,"Sep 11, 1983",4:00,@,Los Angeles Rams,W 30-27,P -3,,New Orleans Saints,O 41,
Sun,"Sep 11, 1983",4:00,@,Miami Dolphins,W 34-24,W -9.5,,New England Patriots,O 36,
Sun,"Sep 11, 1983",4:00,@,New York Jets,L 10-17,L -9,,Seattle Seahawks,U 39.5,
Mon,"Sep 12, 1983",9:00,,San Diego Chargers,W 17-14,L -3.5,@,Kansas City Chiefs,U 46,
