Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Sep 6, 1984",9:00,,Pittsburgh Steelers,W 23-17,W -1,@,New York Jets,U 42,
Sun,"Sep 9, 1984",1:00,@,Atlanta Falcons,L 24-27 (OT),L -3,,Detroit Lions,O 47,
Sun,"Sep 9, 1984",1:00,@,Chicago Bears,W 27-0,W -5.5,,Denver Broncos,U 40,
Sun,"Sep 9, 1984",1:00,@,Cincinnati Bengals,L 22-27,L -4,,Kansas City Chiefs,O 47,
Sun,"Sep 9, 1984",1:00,@,Miami Dolphins,W 28-7,W -6,,New England Patriots,U 43,
Sun,"Sep 9, 1984",1:00,@,New Orleans Saints,W 17-13,L -7,,Tampa Bay Buccaneers,U 43,
Sun,"Sep 9, 1984",1:00,,Dallas Cowboys,L 7-28,L -5.5,@,New York Giants,U 46,
Sun,"Sep 9, 1984",1:00,@,Philadelphia Eagles,W 19-17,L -5,,Minnesota Vikings,U 41,
Sun,"Sep 9, 1984",1:00,@,St Louis Cardinals,W 37-7,W -7,,Buffalo Bills,O 42,
Sun,"Sep 9, 1984",4:00,@,Houston Oilers,L 21-35,L -5.5,,Indianapolis Colts,O 40,
Sun,"Sep 9, 1984",4:00,@,Los Angeles Raiders,W 28-7,W -7,,Green Bay Packers,U 50,
Sun,"Sep 9, 1984",4:00,@,Los Angeles Rams,W 20-17,L -6,,Cleveland Browns,U 44,
Sun,"Sep 9, 1984",4:00,,San Diego Chargers,L 17-31,L -1,@,Seattle Seahawks,U 52,
Mon,"Sep 10, 1984",9:00,@,San Francisco 49ers,W 37-31,W -2,,Washington Redskins,O 52,
