Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Nov 20, 1986",8:00,,Los Angeles Raiders,W 37-31 (OT),L -6.5,@,San Diego Chargers,O 44,
Sun,"Nov 23, 1986",1:00,@,Chicago Bears,W 12-10,L -14,,Green Bay Packers,U 37,
Sun,"Nov 23, 1986",1:00,@,Cincinnati Bengals,W 24-20,W -3,,Minnesota Vikings,U 45,
Sun,"Nov 23, 1986",1:00,@,Cleveland Browns,W 37-31 (OT),L -6.5,,Pittsburgh Steelers,O 37,
Sun,"Nov 23, 1986",1:00,@,Houston Oilers,W 31-17,W -7,,Indianapolis Colts,O 41,
Sun,"Nov 23, 1986",1:00,@,New England Patriots,W 22-19,L -13,,Buffalo Bills,U 43,
Sun,"Nov 23, 1986",1:00,@,New York Giants,W 19-16,P -3,,Denver Broncos,U 38,
Sun,"Nov 23, 1986",1:00,,Detroit Lions,W 38-17,W -3.5,@,Tampa Bay Buccaneers,O 38,
Sun,"Nov 23, 1986",4:00,@,Los Angeles Rams,W 26-13,W -6.5,,New Orleans Saints,O 37.5,
Sun,"Nov 23, 1986",4:00,@,San Francisco 49ers,W 20-0,W -10,,Atlanta Falcons,U 41.5,
Sun,"Nov 23, 1986",4:00,@,Seattle Seahawks,W 24-20,L -6,,Philadelphia Eagles,O 37.5,
Sun,"Nov 23, 1986",4:00,,Kansas City Chiefs,L 14-23,L -3.5,@,St Louis Cardinals,U 39.5,
Sun,"Nov 23, 1986",4:00,@,Washington Redskins,W 41-14,W -3,,Dallas Cowboys,O 41.5,
Mon,"Nov 24, 1986",9:00,,New York Jets,L 3-45,L -2,@,Miami Dolphins,U 53,
