Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Fri,"Dec 19, 1986",9:00,@,San Francisco 49ers,W 24-14,W -4.5,,Los Angeles Rams,U 40,
Sat,"Dec 20, 1986",12:30,@,New York Giants,W 55-24,W -12,,Green Bay Packers,O 36,
Sat,"Dec 20, 1986",4:00,@,Seattle Seahawks,W 41-16,W -3.5,,Denver Broncos,O 44,
Sun,"Dec 21, 1986",1:00,@,Cincinnati Bengals,W 52-21,W -7,,New York Jets,O 46,
Sun,"Dec 21, 1986",1:00,@,Cleveland Browns,W 47-17,W -6.5,,San Diego Chargers,O 42,
Sun,"Dec 21, 1986",1:00,@,Detroit Lions,L 6-20,L -3,,Atlanta Falcons,U 39,
Sun,"Dec 21, 1986",1:00,@,Houston Oilers,W 16-7,W -3,,Buffalo Bills,U 40,
Sun,"Dec 21, 1986",1:00,@,Minnesota Vikings,W 33-17,W -3,,New Orleans Saints,O 41,
Sun,"Dec 21, 1986",1:00,,Washington Redskins,W 21-14,W -4,@,Philadelphia Eagles,U 38,
Sun,"Dec 21, 1986",1:00,@,Pittsburgh Steelers,L 19-24,L -2,,Kansas City Chiefs,O 38.5,
Sun,"Dec 21, 1986",1:00,@,St Louis Cardinals,W 21-17,L -12.5,,Tampa Bay Buccaneers,U 41,
Sun,"Dec 21, 1986",4:00,,Chicago Bears,W 24-10,W -3,@,Dallas Cowboys,U 35,
Sun,"Dec 21, 1986",4:00,@,Los Angeles Raiders,L 24-30,L -9,,Indianapolis Colts,O 40,
Mon,"Dec 22, 1986",9:00,@,Miami Dolphins,L 27-34,L -3.5,,New England Patriots,O 48,
