Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders,Additional Notes
Atlanta Falcons,3-12 (20.0%),5-9-1  (35.7%),0-1 (0.0%),0-1-0  (0.0%),2-6 (25.0%),3-5-0 (37.5%),0-0,0-0-0,4-7-1 (36.4%)
Buffalo Bills,7-8 (46.7%),9-6  (60.0%),1-1 (50.0%),1-1-0  (50.0%),4-4 (50.0%),4-4-0 (50.0%),1-1 (50.0%),1-1-0 (50.0%),5-7-0 (41.7%)
Chicago Bears,11-4 (73.3%),8-6-1  (57.1%),10-2 (83.3%),7-5-0  (58.3%),6-2 (75.0%),5-3-0 (62.5%),6-2 (75.0%),5-3-0 (62.5%),7-5-0 (58.3%)
Cincinnati Bengals,4-11 (26.7%),3-12  (20.0%),3-4 (42.9%),1-6-0  (14.3%),1-7 (12.5%),0-8-0 (0.0%),1-4 (20.0%),0-5-0 (0.0%),7-4-1 (63.6%)
Cleveland Browns,10-5 (66.7%),9-6  (60.0%),8-3 (72.7%),7-4-0  (63.6%),5-2 (71.4%),4-3-0 (57.1%),5-2 (71.4%),4-3-0 (57.1%),7-4-1 (63.6%)
Dallas Cowboys,7-8 (46.7%),7-8  (46.7%),2-4 (33.3%),1-5-0  (16.7%),3-4 (42.9%),2-5-0 (28.6%),1-3 (25.0%),0-4-0 (0.0%),6-6-0 (50.0%)
Denver Broncos,10-4-1 (71.4%),7-7-1  (50.0%),9-2 (81.8%),6-5-1  (54.5%),7-1 (87.5%),5-2-1 (71.4%),6-1 (85.7%),4-2-1 (66.7%),6-6-0 (50.0%)
Detroit Lions,4-11 (26.7%),6-9  (40.0%),1-2 (33.3%),1-2-0  (33.3%),1-6 (14.3%),2-5-0 (28.6%),0-2 (0.0%),0-2-0 (0.0%),6-6-0 (50.0%)
Green Bay Packers,5-9-1 (35.7%),8-7  (53.3%),2-2 (50.0%),1-3-0  (25.0%),2-5 (28.6%),3-5-0 (37.5%),1-2 (33.3%),0-3-0 (0.0%),3-9-0 (25.0%)
Houston Oilers,9-6 (60.0%),8-6-1  (57.1%),2-1 (66.7%),0-2-1  (0.0%),5-2 (71.4%),3-3-1 (50.0%),2-1 (66.7%),0-2-1 (0.0%),6-5-1 (54.5%)
Indianapolis Colts,9-6 (60.0%),9-6  (60.0%),4-1 (80.0%),3-2-0  (60.0%),4-4 (50.0%),4-4-0 (50.0%),3-1 (75.0%),2-2-0 (50.0%),3-8-1 (27.3%)
Kansas City Chiefs,4-11 (26.7%),8-7  (53.3%),1-3 (25.0%),1-3-0  (25.0%),3-4 (42.9%),4-3-0 (57.1%),1-3 (25.0%),1-3-0 (25.0%),6-6-0 (50.0%)
Los Angeles Raiders,5-10 (33.3%),7-8  (46.7%),4-5 (44.4%),4-5-0  (44.4%),3-5 (37.5%),3-5-0 (37.5%),3-3 (50.0%),3-3-0 (50.0%),5-7-0 (41.7%)
Los Angeles Rams,6-9 (40.0%),6-9  (40.0%),3-4 (42.9%),3-4-0  (42.9%),3-4 (42.9%),3-4-0 (42.9%),2-2 (50.0%),2-2-0 (50.0%),7-5-0 (58.3%)
Miami Dolphins,8-7 (53.3%),7-8  (46.7%),5-6 (45.5%),4-7-0  (36.4%),4-3 (57.1%),3-4-0 (42.9%),4-3 (57.1%),3-4-0 (42.9%),5-7-0 (41.7%)
Minnesota Vikings,8-7 (53.3%),5-10  (33.3%),7-3 (70.0%),4-6-0  (40.0%),5-3 (62.5%),3-5-0 (37.5%),5-2 (71.4%),3-4-0 (42.9%),6-6-0 (50.0%)
