NFC Wild Card,Sat,"Jan 5, 1991",12:30,@,Philadelphia Eagles (4),L 6-20,L -4.5,,Washington Redskins (5),U 40
AFC Wild Card,Sat,"Jan 5, 1991",4:00,@,Miami Dolphins (4),W 17-16,L -2.5,,Kansas City Chiefs (5),U 41
AFC Wild Card,Sun,"Jan 6, 1991",12:30,@,Cincinnati Bengals (3),W 41-14,W -3.5,,Houston Oilers (6),O 42
NFC Wild Card,Sun,"Jan 6, 1991",4:00,@,Chicago Bears (3),W 16-6,W -6.5,,New Orleans Saints (6),U 32
AFC Divisional,Sat,"Jan 12, 1991",12:30,@,Buffalo Bills (1),W 44-34,W -7,,Miami Dolphins (4),O 34
NFC Divisional,Sat,"Jan 12, 1991",4:00,@,San Francisco 49ers (1),W 28-10,W -8,,Washington Redskins (5),U 41
NFC Divisional,Sun,"Jan 13, 1991",12:30,@,New York Giants (2),W 31-3,W -7,,Chicago Bears (3),O 33
AFC Divisional,Sun,"Jan 13, 1991",4:00,@,Los Angeles Raiders (2),W 20-10,W -7,,Cincinnati Bengals (3),U 43
AFC Championship,Sun,"Jan 20, 1991",12:30,@,Buffalo Bills (1),W 51-3,W -7,,Los Angeles Raiders (2),O 37
NFC Championship,Sun,"Jan 20, 1991",4:00,@,San Francisco 49ers (1),L 13-15,L -8,,New York Giants (2),U 37
Super Bowl XXV,Sun,"Jan 27, 1991",5:30,N,Buffalo Bills (1),L 19-20,L -6.5,,New York Giants (2),U 40.5
