Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,"Sep 29, 1991",1:00,,New Orleans Saints,W 27-6,W -2.5,@,Atlanta Falcons,U 35,
Sun,"Sep 29, 1991",1:00,@,Buffalo Bills,W 35-20,W -8,,Chicago Bears,O 44,
Sun,"Sep 29, 1991",1:00,,New York Giants,L 16-21,L -2.5,@,Dallas Cowboys,O 36,
Sun,"Sep 29, 1991",1:00,@,Detroit Lions,W 31-3,W -6,,Tampa Bay Buccaneers,U 40,
Sun,"Sep 29, 1991",4:00,,San Francisco 49ers,L 6-12,L -3,@,Los Angeles Raiders,U 36,
Sun,"Sep 29, 1991",4:00,@,Los Angeles Rams,W 23-21,L -4.5,,Green Bay Packers,O 38,
Sun,"Sep 29, 1991",4:00,,Miami Dolphins,L 23-41,L -2,@,New York Jets,O 38,
Sun,"Sep 29, 1991",4:00,@,Phoenix Cardinals,W 24-10,W -6,,New England Patriots,U 36,
Sun,"Sep 29, 1991",4:00,,Kansas City Chiefs,W 14-13,L -3.5,@,San Diego Chargers,U 36,
Sun,"Sep 29, 1991",4:00,@,Seattle Seahawks,W 31-3,W -8,,Indianapolis Colts,U 36,
Sun,"Sep 29, 1991",8:00,@,Minnesota Vikings,L 6-13,L -5,,Denver Broncos,U 40,
Mon,"Sep 30, 1991",9:00,@,Washington Redskins,W 23-0,W -6,,Philadelphia Eagles,U 40,
