Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Oct 17, 1991",7:30,,Chicago Bears,W 10-0,W -3,@,Green Bay Packers,U 35,
Sun,"Oct 20, 1991",1:00,,New York Jets,W 17-6,L -12.5,@,Indianapolis Colts,U 34,
Sun,"Oct 20, 1991",1:00,,Houston Oilers,W 17-13,L -5.5,@,Miami Dolphins,U 42,
Sun,"Oct 20, 1991",1:00,,Minnesota Vikings,L 23-26 (OT),L -7,@,New England Patriots,O 34,
Sun,"Oct 20, 1991",1:00,@,New Orleans Saints,W 23-7,W -13,,Tampa Bay Buccaneers,U 32,
Sun,"Oct 20, 1991",1:00,@,Pittsburgh Steelers,L 7-27,L -3.5,,Seattle Seahawks,U 36,
Sun,"Oct 20, 1991",4:00,,Kansas City Chiefs,L 16-19,L -2,@,Denver Broncos,U 37,
Sun,"Oct 20, 1991",4:00,@,Los Angeles Raiders,W 20-17,L -4,,Los Angeles Rams,U 38,
Sun,"Oct 20, 1991",4:00,,Atlanta Falcons,L 10-16,L -2.5,@,Phoenix Cardinals,U 38,
Sun,"Oct 20, 1991",4:00,@,San Diego Chargers,L 24-30 (OT),L -5,,Cleveland Browns,O 36,
Sun,"Oct 20, 1991",4:00,@,San Francisco 49ers,W 35-3,W -7,,Detroit Lions,U 42,
Mon,"Oct 21, 1991",9:00,@,Buffalo Bills,W 35-16,W -13.5,,Cincinnati Bengals,O 50,
