1,9-4 (69.2%),5-7-1  (41.7%),8-5 (61.5%),6-6-1 (50.0%),6-2 (75.0%),3-4-1 (42.9%),2-3 (40.0%),3-2-0 (60.0%),5-8-0 (38.5%)
2,10-4 (71.4%),9-5-0  (64.3%),9-5 (64.3%),8-6-0 (57.1%),7-2 (77.8%),6-3-0 (66.7%),2-3 (40.0%),2-3-0 (40.0%),6-5-3 (54.5%)
3,8-5 (61.5%),4-9-0  (30.8%),8-6 (57.1%),4-10-0 (28.6%),7-5 (58.3%),3-9-0 (25.0%),0-1 (0.0%),0-1-0 (0.0%),7-7-0 (50.0%)
4,7-3 (70.0%),6-4-0  (60.0%),5-6 (45.5%),6-5-0 (54.5%),3-2 (60.0%),3-2-0 (60.0%),1-4 (20.0%),2-3-0 (40.0%),5-6-0 (45.5%)
5,7-3 (70.0%),3-6-1  (33.3%),9-3 (75.0%),5-6-1 (45.5%),7-2 (77.8%),3-5-1 (37.5%),1-0 (100.%),1-0-0 (100.%),5-7-0 (41.7%)
6,7-4 (63.6%),4-7-0  (36.4%),9-2 (81.8%),8-3-0 (72.7%),5-0 (100.%),3-2-0 (60.0%),4-2 (66.7%),5-1-0 (83.3%),3-8-0 (27.3%)
7,10-3 (76.9%),10-3-0  (76.9%),10-3 (76.9%),10-3-0 (76.9%),8-1 (88.9%),8-1-0 (88.9%),2-2 (50.0%),2-2-0 (50.0%),8-5-0 (61.5%)
8,9-3 (75.0%),3-9-0  (25.0%),4-8 (33.3%),4-8-0 (33.3%),4-3 (57.1%),1-6-0 (14.3%),0-5 (0.0%),3-2-0 (60.0%),8-4-0 (66.7%)
9,5-7 (41.7%),2-10-0  (16.7%),9-3 (75.0%),6-6-0 (50.0%),5-3 (62.5%),2-6-0 (25.0%),4-0 (100.%),4-0-0 (100.%),7-5-0 (58.3%)
10,11-3 (78.6%),10-4-0  (71.4%),5-9 (35.7%),4-10-0 (28.6%),5-3 (62.5%),4-4-0 (50.0%),0-6 (0.0%),0-6-0 (0.0%),6-8-0 (42.9%)
11,8-6 (57.1%),4-10-0  (28.6%),9-5 (64.3%),5-9-0 (35.7%),7-4 (63.6%),3-8-0 (27.3%),2-1 (66.7%),2-1-0 (66.7%),6-8-0 (42.9%)
12,11-3 (78.6%),7-7-0  (50.0%),8-6 (57.1%),8-6-0 (57.1%),7-2 (77.8%),5-4-0 (55.6%),1-4 (20.0%),3-2-0 (60.0%),5-9-0 (35.7%)
13,12-2 (85.7%),10-4-0  (71.4%),10-4 (71.4%),8-6-0 (57.1%),8-0 (100.%),6-2-0 (75.0%),2-4 (33.3%),2-4-0 (33.3%),4-9-1 (30.8%)
14,10-4 (71.4%),7-7-0  (50.0%),8-6 (57.1%),7-7-0 (50.0%),7-3 (70.0%),5-5-0 (50.0%),1-3 (25.0%),2-2-0 (50.0%),10-4-0 (71.4%)
15,10-4 (71.4%),5-8-1  (38.5%),8-6 (57.1%),7-6-1 (53.8%),6-2 (75.0%),3-4-1 (42.9%),2-4 (33.3%),4-2-0 (66.7%),7-7-0 (50.0%)
16,11-3 (78.6%),8-6-0  (57.1%),9-5 (64.3%),6-8-0 (42.9%),8-2 (80.0%),5-5-0 (50.0%),1-3 (25.0%),1-3-0 (25.0%),4-10-0 (28.6%)
17,11-3 (78.6%),10-4-0  (71.4%),8-6 (57.1%),9-5-0 (64.3%),7-2 (77.8%),7-2-0 (77.8%),1-4 (20.0%),2-3-0 (40.0%),7-7-0 (50.0%)
Playoffs,7-4 (63.6%),5-5-1  (50.0%),5-5 (50.0%),3-6-1 (33.3%),5-4 (55.6%),3-5-1 (37.5%),0-1 (0.0%),0-1-0 (0.0%),5-6-0 (45.5%)
