Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Oct 15, 1992",7:35,@,Minnesota Vikings,W 31-14,W -5.5,,Detroit Lions,O 43,
Sun,"Oct 18, 1992",1:00,@,Chicago Bears,W 31-14,W -5.5,,Tampa Bay Buccaneers,O 40,
Sun,"Oct 18, 1992",1:00,@,Cleveland Browns,W 17-6,W -3,,Green Bay Packers,U 33,
Sun,"Oct 18, 1992",1:00,@,Dallas Cowboys,W 17-10,W -4,,Kansas City Chiefs,U 38,
Sun,"Oct 18, 1992",1:00,@,Indianapolis Colts,L 14-34,L -2,,San Diego Chargers,O 32,
Sun,"Oct 18, 1992",1:00,@,Washington Redskins,W 16-12,W -2,,Philadelphia Eagles,U 38,
Sun,"Oct 18, 1992",4:00,,Houston Oilers,L 21-27,L -3,@,Denver Broncos,O 39,
Sun,"Oct 18, 1992",4:00,,New York Giants,L 17-38,L -1.5,@,Los Angeles Rams,O 37,
Sun,"Oct 18, 1992",4:00,@,Miami Dolphins,W 38-17,W -15,,New England Patriots,O 39,
Sun,"Oct 18, 1992",4:00,,New Orleans Saints,W 30-21,W -7,@,Phoenix Cardinals,O 35,
Sun,"Oct 18, 1992",4:00,@,San Francisco 49ers,W 56-17,W -10,,Atlanta Falcons,O 45,
Sun,"Oct 18, 1992",4:00,,Los Angeles Raiders,W 19-0,W -7,@,Seattle Seahawks,U 32,
Mon,"Oct 19, 1992",9:00,@,Pittsburgh Steelers,W 20-0,W -7.5,,Cincinnati Bengals,U 38,
