Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Sat,"Dec 25, 1993",5:30,@,San Francisco 49ers,L 7-10,L -7.5,,Houston Oilers,U 47,
Sun,"Dec 26, 1993",1:00,@,Buffalo Bills,W 16-14,L -7,,New York Jets,U 31,
Sun,"Dec 26, 1993",1:00,@,Chicago Bears,L 14-20,L -3,,Detroit Lions,O 28,
Sun,"Dec 26, 1993",1:00,,Atlanta Falcons,L 17-21,L -3.5,@,Cincinnati Bengals,O 34,
Sun,"Dec 26, 1993",1:00,@,Green Bay Packers,W 28-0,W -3,,Los Angeles Raiders,U 32.5,
Sun,"Dec 26, 1993",1:00,@,New England Patriots,W 38-0,W -6,,Indianapolis Colts,O 28,
Sun,"Dec 26, 1993",1:00,@,Philadelphia Eagles,W 37-26,W -3,,New Orleans Saints,O 29.5,
Sun,"Dec 26, 1993",4:00,@,Dallas Cowboys,W 38-3,W -17,,Washington Redskins,O 38,
Sun,"Dec 26, 1993",4:00,@,Denver Broncos,L 10-17,L -13.5,,Tampa Bay Buccaneers,U 38,
Sun,"Dec 26, 1993",4:00,,Cleveland Browns,W 42-14,W -2,@,Los Angeles Rams,O 35,
Sun,"Dec 26, 1993",4:00,,New York Giants,L 6-17,L -3,@,Phoenix Cardinals,U 35,
Sun,"Dec 26, 1993",4:00,,Pittsburgh Steelers,L 6-16,L -3,@,Seattle Seahawks,U 36,
Sun,"Dec 26, 1993",8:00,,Kansas City Chiefs,L 10-30,L -3,@,Minnesota Vikings,O 37,
Mon,"Dec 27, 1993",9:00,@,San Diego Chargers,W 45-20,W -1,,Miami Dolphins,O 38,
