Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Oct 13, 1994",8:00,,Cleveland Browns,W 11-8,W -2,@,Houston Oilers,U 37,
Sun,"Oct 16, 1994",1:00,,San Francisco 49ers,W 42-3,W -5,@,Atlanta Falcons,U 46.5,
Sun,"Oct 16, 1994",1:00,@,Buffalo Bills,L 17-27,L -9.5,,Indianapolis Colts,O 38,
Sun,"Oct 16, 1994",1:00,@,Miami Dolphins,W 20-17 (OT),L -3.5,,Los Angeles Raiders,U 46,
Sun,"Oct 16, 1994",1:00,@,New York Jets,W 24-17,W -2,,New England Patriots,P 41,
Sun,"Oct 16, 1994",1:00,@,Pittsburgh Steelers,W 14-10,L -13.5,,Cincinnati Bengals,U 39,
Sun,"Oct 16, 1994",1:00,,Arizona Cardinals,W 19-16 (OT),W -1,@,Washington Redskins,P 35,
Sun,"Oct 16, 1994",4:00,@,Dallas Cowboys,W 24-13,W -8.5,,Philadelphia Eagles,U 42,
Sun,"Oct 16, 1994",4:00,,New York Giants,L 10-17,L -1.5,@,Los Angeles Rams,U 36.5,
Sun,"Oct 16, 1994",4:00,,San Diego Chargers,W 36-22,W -3,@,New Orleans Saints,O 39,
Mon,"Oct 17, 1994",9:00,@,Denver Broncos,L 28-31,L -1.5,,Kansas City Chiefs,O 43,
