Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Oct 20, 1994",8:00,@,Minnesota Vikings,W 13-10 (OT),L -5,,Green Bay Packers,U 37,
Sun,"Oct 23, 1994",1:00,@,Cleveland Browns,W 37-13,W -10.5,,Cincinnati Bengals,O 34.5,
Sun,"Oct 23, 1994",1:00,@,Detroit Lions,W 21-16,W -4,,Chicago Bears,P 37,
Sun,"Oct 23, 1994",1:00,@,Indianapolis Colts,L 27-41,L -7,,Washington Redskins,O 37,
Sun,"Oct 23, 1994",1:00,@,Kansas City Chiefs,W 38-23,W -6,,Seattle Seahawks,O 37,
Sun,"Oct 23, 1994",1:00,@,New Orleans Saints,W 37-34,L -3.5,,Los Angeles Rams,O 36.5,
Sun,"Oct 23, 1994",1:00,@,New York Giants,L 6-10,L -1,,Pittsburgh Steelers,U 36.5,
Sun,"Oct 23, 1994",4:00,,Dallas Cowboys,W 28-21,L -8.5,@,Arizona Cardinals,O 36,
Sun,"Oct 23, 1994",4:00,@,Los Angeles Raiders,W 30-17,W -4.5,,Atlanta Falcons,O 44.5,
Sun,"Oct 23, 1994",4:00,@,San Diego Chargers,L 15-20,L -6.5,,Denver Broncos,U 44.5,
Sun,"Oct 23, 1994",4:00,@,San Francisco 49ers,W 41-16,W -15.5,,Tampa Bay Buccaneers,O 43,
Mon,"Oct 24, 1994",9:00,@,Philadelphia Eagles,W 21-6,W -11,,Houston Oilers,U 37.5,
