Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Oct 12, 1995",8:00,@,St Louis Rams,W 21-19,L -3,,Atlanta Falcons,U 43,
Sun,"Oct 15, 1995",1:00,@,Buffalo Bills,W 27-21,L -7.5,,Seattle Seahawks,O 38,
Sun,"Oct 15, 1995",1:00,@,Green Bay Packers,W 30-21,W -3.5,,Detroit Lions,O 40,
Sun,"Oct 15, 1995",1:00,,San Francisco 49ers,L 17-18,L -10,@,Indianapolis Colts,U 46.5,
Sun,"Oct 15, 1995",1:00,,Chicago Bears,W 30-27,L -7.5,@,Jacksonville Jaguars,O 37,
Sun,"Oct 15, 1995",1:00,@,Kansas City Chiefs,W 31-26,L -7,,New England Patriots,O 38,
Sun,"Oct 15, 1995",1:00,@,New York Giants,L 14-17,L -3,,Philadelphia Eagles,U 39,
Sun,"Oct 15, 1995",1:00,,Minnesota Vikings,L 17-20 (OT),L -2,@,Tampa Bay Buccaneers,O 36.5,
Sun,"Oct 15, 1995",4:00,@,Arizona Cardinals,W 24-20,W -2.5,,Washington Redskins,O 40,
Sun,"Oct 15, 1995",4:00,,New York Jets,L 15-26,L -1.5,@,Carolina Panthers,O 37,
Sun,"Oct 15, 1995",4:00,,Miami Dolphins,L 30-33,L -6.5,@,New Orleans Saints,O 44,
Sun,"Oct 15, 1995",4:00,,Dallas Cowboys,W 23-9,W -7,@,San Diego Chargers,U 43,
Mon,"Oct 16, 1995",9:00,,Oakland Raiders,L 0-27,L -3,@,Denver Broncos,U 45.5,
