Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Oct 17, 1996",8:00,@,Kansas City Chiefs,W 34-16,W -9,,Seattle Seahawks,O 39,
Sun,"Oct 20, 1996",1:00,@,Carolina Panthers,W 19-7,W -7,,New Orleans Saints,U 39.5,
Sun,"Oct 20, 1996",1:00,@,Dallas Cowboys,W 32-28,L -15,,Atlanta Falcons,O 43,
Sun,"Oct 20, 1996",1:00,@,Indianapolis Colts,L 9-27,L -3.5,,New England Patriots,U 41.5,
Sun,"Oct 20, 1996",1:00,@,Philadelphia Eagles,W 35-28,W -2.5,,Miami Dolphins,O 37,
Sun,"Oct 20, 1996",1:00,@,Washington Redskins,W 31-21,W -7.5,,New York Giants,O 37.5,
Sun,"Oct 20, 1996",4:00,@,Arizona Cardinals,W 13-9,W -3,,Tampa Bay Buccaneers,U 36,
Sun,"Oct 20, 1996",4:00,@,Denver Broncos,W 45-34,P -11,,Baltimore Ravens,O 44,
Sun,"Oct 20, 1996",4:00,,Pittsburgh Steelers,L 13-23,L -1,@,Houston Oilers,U 39,
Sun,"Oct 20, 1996",4:00,,Buffalo Bills,W 25-22,L -7,@,New York Jets,O 37.5,
Sun,"Oct 20, 1996",4:00,@,San Francisco 49ers,W 28-21,L -14.5,,Cincinnati Bengals,O 43,
Sun,"Oct 20, 1996",4:00,@,St Louis Rams,W 17-14,W PK,,Jacksonville Jaguars,U 40,
Mon,"Oct 21, 1996",9:00,@,San Diego Chargers,L 14-23,L -3.5,,Oakland Raiders,U 41,
