Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Dec 2, 1999",8:20,@,Jacksonville Jaguars,W 20-6,W -10.5,,Pittsburgh Steelers,U 37,
Sun,"Dec 5, 1999",1:00,@,Cincinnati Bengals,W 44-30,W -3,,San Francisco 49ers,O 39,
Sun,"Dec 5, 1999",1:01,@,Detroit Lions,W 33-17,W -3.5,,Washington Redskins,O 49.5,
Sun,"Dec 5, 1999",1:01,@,Miami Dolphins,L 34-37,L -2,,Indianapolis Colts,O 43,
Sun,"Dec 5, 1999",1:02,,Tennessee Titans,L 14-41,L -3.5,@,Baltimore Ravens,O 36.5,
Sun,"Dec 5, 1999",1:02,,St Louis Rams,W 34-21,W -7,@,Carolina Panthers,O 49,
Sun,"Dec 5, 1999",1:02,,Green Bay Packers,W 35-19,W -3.5,@,Chicago Bears,O 39,
Sun,"Dec 5, 1999",1:03,@,Atlanta Falcons,W 35-12,W -4,,New Orleans Saints,O 39.5,
Sun,"Dec 5, 1999",1:03,,New York Jets,L 28-41,L -2.5,@,New York Giants,O 34,
Sun,"Dec 5, 1999",1:15,@,Oakland Raiders,W 30-21,W -1,,Seattle Seahawks,O 41,
Sun,"Dec 5, 1999",1:15,@,San Diego Chargers,W 23-10,W -7.5,,Cleveland Browns,U 36,
Sun,"Dec 5, 1999",4:06,@,Arizona Cardinals,W 21-17,L -7,,Philadelphia Eagles,O 37,
Sun,"Dec 5, 1999",4:15,@,Denver Broncos,L 10-16,L -3.5,,Kansas City Chiefs,U 38.5,
Sun,"Dec 5, 1999",8:23,@,New England Patriots,W 13-6,W -2,,Dallas Cowboys,U 38,
Mon,"Dec 6, 1999",9:05,,Minnesota Vikings,L 17-24,L -2.5,@,Tampa Bay Buccaneers,O 39,
