Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Dec 9, 1999",8:20,@,Tennessee Titans,W 21-14,W -3,,Oakland Raiders,U 40,
Sun,"Dec 12, 1999",1:00,@,Cincinnati Bengals,W 44-28,W -7,,Cleveland Browns,O 41,
Sun,"Dec 12, 1999",1:00,@,Dallas Cowboys,W 20-10,W -9,,Philadelphia Eagles,U 36.5,
Sun,"Dec 12, 1999",1:00,,St Louis Rams,W 30-14,W -10.5,@,New Orleans Saints,U 49,
Sun,"Dec 12, 1999",1:01,@,Pittsburgh Steelers,L 24-31,L -1.5,,Baltimore Ravens,O 36,
Sun,"Dec 12, 1999",1:01,@,Washington Redskins,W 28-3,W -5.5,,Arizona Cardinals,U 46.5,
Sun,"Dec 12, 1999",1:02,@,Buffalo Bills,L 17-19,L -8,,New York Giants,U 36.5,
Sun,"Dec 12, 1999",1:02,@,Green Bay Packers,L 31-33,L -8,,Carolina Panthers,O 42,
Sun,"Dec 12, 1999",2:05,@,Indianapolis Colts,W 20-15,L -7,,New England Patriots,U 46.5,
Sun,"Dec 12, 1999",4:05,,Miami Dolphins,L 20-28,L -3,@,New York Jets,O 37,
Sun,"Dec 12, 1999",4:05,@,Seattle Seahawks,L 16-19,L -9.5,,San Diego Chargers,U 42.5,
Sun,"Dec 12, 1999",4:15,,Atlanta Falcons,L 7-26,L -3,@,San Francisco 49ers,U 41,
Sun,"Dec 12, 1999",4:15,@,Tampa Bay Buccaneers,W 23-16,W -4,,Detroit Lions,O 36,
Sun,"Dec 12, 1999",8:21,@,Kansas City Chiefs,W 31-28,W -1,,Minnesota Vikings,O 42,
Mon,"Dec 13, 1999",9:09,@,Jacksonville Jaguars,W 27-24,L -9,,Denver Broncos,O 37.5,
