Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Fri,"Dec 24, 1999",3:00,,Dallas Cowboys,L 24-31,L -8.5,@,New Orleans Saints,O 38.5,
Sat,"Dec 25, 1999",4:16,@,Detroit Lions,L 7-17,L -4.5,,Denver Broncos,U 43.5,
Sun,"Dec 26, 1999",12:03,,Jacksonville Jaguars,L 14-41,L -3,@,Tennessee Titans,O 39,
Sun,"Dec 26, 1999",1:01,,Carolina Panthers,L 20-30,L -3.5,@,Pittsburgh Steelers,O 42.5,
Sun,"Dec 26, 1999",1:02,@,Baltimore Ravens,W 22-0,W -7,,Cincinnati Bengals,U 45.5,
Sun,"Dec 26, 1999",1:02,,Indianapolis Colts,W 29-28,L -13.5,@,Cleveland Browns,O 41.5,
Sun,"Dec 26, 1999",1:02,,Minnesota Vikings,W 34-17,W -2.5,@,New York Giants,O 43,
Sun,"Dec 26, 1999",1:02,@,St Louis Rams,W 34-12,W -10,,Chicago Bears,U 46.5,
Sun,"Dec 26, 1999",1:03,@,Atlanta Falcons,W 37-14,W -2,,Arizona Cardinals,O 38,
Sun,"Dec 26, 1999",1:03,,Buffalo Bills,W 13-10 (OT),P -3,@,New England Patriots,U 37.5,
Sun,"Dec 26, 1999",1:05,,Oakland Raiders,L 20-23,L -3,@,San Diego Chargers,O 38,
Sun,"Dec 26, 1999",4:05,@,Seattle Seahawks,W 23-14,W -3,,Kansas City Chiefs,U 43,
Sun,"Dec 26, 1999",4:15,@,Tampa Bay Buccaneers,W 29-10,W -3.5,,Green Bay Packers,O 37,
Sun,"Dec 26, 1999",8:20,,Washington Redskins,W 26-20 (OT),L -7,@,San Francisco 49ers,U 47.5,
Mon,"Dec 27, 1999",9:07,@,Miami Dolphins,L 31-38,L -3.5,,New York Jets,O 37,
