Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Oct 21, 1999",8:21,,Kansas City Chiefs,W 35-8,W -1,@,Baltimore Ravens,O 36,
Sun,"Oct 24, 1999",1:00,@,Indianapolis Colts,W 31-10,W -11,,Cincinnati Bengals,U 44,
Sun,"Oct 24, 1999",1:00,@,Minnesota Vikings,W 40-16,W -7,,San Francisco 49ers,O 48.5,
Sun,"Oct 24, 1999",1:00,@,Tampa Bay Buccaneers,W 6-3,L -8,,Chicago Bears,U 36.5,
Sun,"Oct 24, 1999",1:01,@,Miami Dolphins,W 16-13,L -9,,Philadelphia Eagles,U 34,
Sun,"Oct 24, 1999",1:02,@,Carolina Panthers,L 9-24,L -4.5,,Detroit Lions,U 43.5,
Sun,"Oct 24, 1999",1:02,@,New England Patriots,W 24-23,L -3.5,,Denver Broncos,O 40.5,
Sun,"Oct 24, 1999",1:02,@,St Louis Rams,W 34-3,W -18.5,,Cleveland Browns,U 43.5,
Sun,"Oct 24, 1999",1:03,@,New York Giants,W 31-3,W -3,,New Orleans Saints,P 34,
Sun,"Oct 24, 1999",1:05,@,Dallas Cowboys,W 38-20,W -2,,Washington Redskins,O 44,
Sun,"Oct 24, 1999",4:05,,Green Bay Packers,W 31-3,W -3,@,San Diego Chargers,U 37.5,
Sun,"Oct 24, 1999",4:15,@,Oakland Raiders,W 24-23,L -6.5,,New York Jets,O 37,
Sun,"Oct 24, 1999",4:15,@,Seattle Seahawks,W 26-16,W -2.5,,Buffalo Bills,O 38,
Mon,"Oct 25, 1999",9:07,@,Pittsburgh Steelers,W 13-9,L -5.5,,Atlanta Falcons,U 37,
