Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Nov 30, 2000",8:35,@,Minnesota Vikings,W 24-17,L -9,,Detroit Lions,U 48.5,
Sun,"Dec 3, 2000",1:01,,Oakland Raiders,L 20-21,L -3,@,Pittsburgh Steelers,U 42,
Sun,"Dec 3, 2000",1:01,@,Tampa Bay Buccaneers,W 27-7,W -10,,Dallas Cowboys,U 37,
Sun,"Dec 3, 2000",1:01,@,Washington Redskins,L 7-9,L -6,,New York Giants,U 38,
Sun,"Dec 3, 2000",1:02,@,Buffalo Bills,L 6-33,L -3.5,,Miami Dolphins,O 36,
Sun,"Dec 3, 2000",1:02,@,Cincinnati Bengals,W 24-13,W -4,,Arizona Cardinals,U 38.5,
Sun,"Dec 3, 2000",1:02,@,New Orleans Saints,L 23-38,L PK,,Denver Broncos,O 45,
Sun,"Dec 3, 2000",1:03,,Tennessee Titans,W 15-13,L -3,@,Philadelphia Eagles,U 36.5,
Sun,"Dec 3, 2000",1:04,,St Louis Rams,L 3-16,L -8,@,Carolina Panthers,U 58,
Sun,"Dec 3, 2000",1:05,@,Atlanta Falcons,L 10-30,L PK,,Seattle Seahawks,U 42,
Sun,"Dec 3, 2000",4:05,,San Francisco 49ers,W 45-17,W -2.5,@,San Diego Chargers,O 44,
Sun,"Dec 3, 2000",4:15,@,New York Jets,W 27-17,W -2.5,,Indianapolis Colts,P 44,
Sun,"Dec 3, 2000",4:16,@,Jacksonville Jaguars,W 48-0,W -14.5,,Cleveland Browns,O 39,
Sun,"Dec 3, 2000",8:35,,Green Bay Packers,W 28-6,W -2.5,@,Chicago Bears,U 39,
Mon,"Dec 4, 2000",9:09,@,New England Patriots,W 30-24,W -1,,Kansas City Chiefs,O 41,
