Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Oct 25, 2001",7:30,,Indianapolis Colts,W 35-28,W -3,@,Kansas City Chiefs,O 47.5,
Sun,"Oct 28, 2001",1:00,@,Detroit Lions,L 27-31,L -3,,Cincinnati Bengals,O 39.5,
Sun,"Oct 28, 2001",1:01,@,Baltimore Ravens,W 18-17,L -7.5,,Jacksonville Jaguars,O 33,
Sun,"Oct 28, 2001",1:01,@,Tampa Bay Buccaneers,W 41-14,W -3,,Minnesota Vikings,O 38.5,
Sun,"Oct 28, 2001",1:02,,New York Jets,W 13-12,L -2.5,@,Carolina Panthers,U 39,
Sun,"Oct 28, 2001",1:02,@,St Louis Rams,L 31-34,L -12,,New Orleans Saints,O 48.5,
Sun,"Oct 28, 2001",1:03,@,Chicago Bears,W 37-31 (OT),W -2,,San Francisco 49ers,O 39,
Sun,"Oct 28, 2001",1:15,@,San Diego Chargers,W 27-24,L -7.5,,Buffalo Bills,O 39,
Sun,"Oct 28, 2001",2:15,@,Denver Broncos,W 31-20,W -7,,New England Patriots,O 43,
Sun,"Oct 28, 2001",3:05,,Arizona Cardinals,L 3-17,L -3,@,Dallas Cowboys,U 38,
Sun,"Oct 28, 2001",4:05,,New York Giants,L 21-35,L -7.5,@,Washington Redskins,O 33.5,
Sun,"Oct 28, 2001",4:15,@,Philadelphia Eagles,L 10-20,L -1,,Oakland Raiders,U 39,
Sun,"Oct 28, 2001",4:15,,Miami Dolphins,W 24-20,W -2.5,@,Seattle Seahawks,O 36.5,
Mon,"Oct 29, 2001",9:05,@,Pittsburgh Steelers,W 34-7,W -3,,Tennessee Titans,O 36,
