Round,Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
AFC Wild Card,Sat,"Jan 4, 2003",4:39,@,New York Jets (4),W 41-0,W -6,,Indianapolis Colts (5),U 42
NFC Wild Card,Sat,"Jan 4, 2003",8:08,@,Green Bay Packers (3),L 7-27,L -6.5,,Atlanta Falcons (6),U 40.5
AFC Wild Card,Sun,"Jan 5, 2003",1:01,@,Pittsburgh Steelers (3),W 36-33,L -8,,Cleveland Browns (6),O 41
NFC Wild Card,Sun,"Jan 5, 2003",4:47,@,San Francisco 49ers (4),W 39-38,L -3,,New York Giants (5),O 41
AFC Divisional,Sat,"Jan 11, 2003",4:36,@,Tennessee Titans (2),W 34-31 (OT),L -4.5,,Pittsburgh Steelers (3),O 44
NFC Divisional,Sat,"Jan 11, 2003",8:21,@,Philadelphia Eagles (1),W 20-6,W -7.5,,Atlanta Falcons (6),U 38.5
NFC Divisional,Sun,"Jan 12, 2003",1:01,@,Tampa Bay Buccaneers (2),W 31-6,W -6,,San Francisco 49ers (4),U 39.5
AFC Divisional,Sun,"Jan 12, 2003",4:45,@,Oakland Raiders (1),W 30-10,W -5.5,,New York Jets (4),U 47
NFC Championship,Sun,"Jan 19, 2003",3:08,@,Philadelphia Eagles (1),L 10-27,L -4,,Tampa Bay Buccaneers (2),O 33.5
AFC Championship,Sun,"Jan 19, 2003",6:47,@,Oakland Raiders (1),W 41-24,W -9,,Tennessee Titans (2),O 46
Super Bowl XXXVII,Sun,"Jan 26, 2003",6:26,N,Oakland Raiders (1),L 21-48,L -3.5,,Tampa Bay Buccaneers (2),O 44
