Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Sep 5, 2002",8:38,,San Francisco 49ers,W 16-13,L -4,@,New York Giants,U 39,
Sun,"Sep 8, 2002",1:04,,New York Jets,W 37-31 (OT),W -3,@,Buffalo Bills,O 43,
Sun,"Sep 8, 2002",1:04,@,Carolina Panthers,W 10-7,W PK,,Baltimore Ravens,U 33,
Sun,"Sep 8, 2002",1:04,@,Chicago Bears,W 27-23,L -4.5,,Minnesota Vikings,O 41,
Sun,"Sep 8, 2002",1:04,@,Cincinnati Bengals,L 6-34,L -3,,San Diego Chargers,O 37,
Sun,"Sep 8, 2002",1:04,@,Cleveland Browns,L 39-40,L -2,,Kansas City Chiefs,O 36,
Sun,"Sep 8, 2002",1:04,@,Green Bay Packers,W 37-34 (OT),L -7,,Atlanta Falcons,O 42.5,
Sun,"Sep 8, 2002",1:04,,Indianapolis Colts,W 28-25,L -3.5,@,Jacksonville Jaguars,O 44,
Sun,"Sep 8, 2002",1:04,@,Miami Dolphins,W 49-21,W -9.5,,Detroit Lions,O 35.5,
Sun,"Sep 8, 2002",1:05,@,Washington Redskins,W 31-23,W -6,,Arizona Cardinals,O 44.5,
Sun,"Sep 8, 2002",1:06,@,Tennessee Titans,W 27-24,W -2,,Philadelphia Eagles,O 37,
Sun,"Sep 8, 2002",4:15,@,Tampa Bay Buccaneers,L 20-26 (OT),L -6,,New Orleans Saints,O 37.5,
Sun,"Sep 8, 2002",4:17,,St Louis Rams,L 16-23,L -3,@,Denver Broncos,U 51,
Sun,"Sep 8, 2002",4:17,@,Oakland Raiders,W 31-17,W -7.5,,Seattle Seahawks,O 40,
Sun,"Sep 8, 2002",8:36,,Dallas Cowboys,L 10-19,L -8.5,@,Houston Texans,U 33.5,
Mon,"Sep 9, 2002",9:12,,Pittsburgh Steelers,L 14-30,L -2.5,@,New England Patriots,O 37.5,
