Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Sep 9, 2004",9:08,@,New England Patriots,W 27-24,P -3,,Indianapolis Colts,O 44.5,
Sat,"Sep 11, 2004",1:07,,Tennessee Titans,W 17-7,W -3,@,Miami Dolphins,U 38,
Sun,"Sep 12, 2004",1:04,@,Buffalo Bills,L 10-13,L -3,,Jacksonville Jaguars,U 35,
Sun,"Sep 12, 2004",1:04,@,Pittsburgh Steelers,W 24-21,L -3.5,,Oakland Raiders,O 41.5,
Sun,"Sep 12, 2004",1:04,@,St Louis Rams,W 17-10,L -11,,Arizona Cardinals,U 46,
Sun,"Sep 12, 2004",1:05,@,Chicago Bears,L 16-20,L -1.5,,Detroit Lions,U 38.5,
Sun,"Sep 12, 2004",1:05,@,Houston Texans,L 20-27,L -4.5,,San Diego Chargers,O 44,
Sun,"Sep 12, 2004",1:06,,Seattle Seahawks,W 21-7,W -2.5,@,New Orleans Saints,U 45,
Sun,"Sep 12, 2004",1:06,@,Washington Redskins,W 16-10,W -2.5,,Tampa Bay Buccaneers,U 38.5,
Sun,"Sep 12, 2004",1:07,@,New York Jets,W 31-24,W -5.5,,Cincinnati Bengals,O 42,
Sun,"Sep 12, 2004",1:08,,Baltimore Ravens,L 3-20,L -3.5,@,Cleveland Browns,U 37,
Sun,"Sep 12, 2004",4:15,@,Minnesota Vikings,W 35-17,W -6.5,,Dallas Cowboys,O 44,
Sun,"Sep 12, 2004",4:19,,Atlanta Falcons,W 21-19,L -3,@,San Francisco 49ers,U 44.5,
Sun,"Sep 12, 2004",4:21,@,Philadelphia Eagles,W 31-17,W -9.5,,New York Giants,O 41.5,
Sun,"Sep 12, 2004",8:39,@,Denver Broncos,W 34-24,W -3,,Kansas City Chiefs,O 48.5,
Mon,"Sep 13, 2004",9:09,@,Carolina Panthers,L 14-24,L -3,,Green Bay Packers,U 43.5,
