Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Fri,"Oct 21, 2005",7:05,,Kansas City Chiefs,W 30-20,W -1,@,Miami Dolphins,O 42.5,
Sun,"Oct 23, 2005",1:00,@,Minnesota Vikings,W 23-20,W -2,,Green Bay Packers,U 46,
Sun,"Oct 23, 2005",1:02,@,Cincinnati Bengals,L 13-27,L -3,,Pittsburgh Steelers,U 43,
Sun,"Oct 23, 2005",1:02,@,Philadelphia Eagles,W 20-17,L -4,,San Diego Chargers,U 47,
Sun,"Oct 23, 2005",1:02,@,St Louis Rams,W 28-17,W -5,,New Orleans Saints,U 50,
Sun,"Oct 23, 2005",1:03,,Indianapolis Colts,W 38-20,W -14.5,@,Houston Texans,O 44.5,
Sun,"Oct 23, 2005",1:03,@,Washington Redskins,W 52-17,W -11.5,,San Francisco 49ers,O 38,
Sun,"Oct 23, 2005",1:04,@,Cleveland Browns,L 10-13,L -3,,Detroit Lions,U 36,
Sun,"Oct 23, 2005",4:06,@,Seattle Seahawks,W 13-10,P -3,,Dallas Cowboys,U 45.5,
Sun,"Oct 23, 2005",4:15,@,Arizona Cardinals,W 20-10,W -3,,Tennessee Titans,U 45,
Sun,"Oct 23, 2005",4:15,@,Chicago Bears,W 10-6,W -1,,Baltimore Ravens,U 32,
Sun,"Oct 23, 2005",4:15,@,New York Giants,W 24-23,L -2,,Denver Broncos,O 46.5,
Sun,"Oct 23, 2005",4:15,@,Oakland Raiders,W 38-17,W -3,,Buffalo Bills,O 42,
Mon,"Oct 24, 2005",9:07,@,Atlanta Falcons,W 27-14,W -7.5,,New York Jets,P 41,
