Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Dec 14, 2006",8:13,@,Seattle Seahawks,L 14-24,L -10,,San Francisco 49ers,P 38,
Sat,"Dec 16, 2006",8:05,,Dallas Cowboys,W 38-28,W -3.5,@,Atlanta Falcons,O 44.5,
Sun,"Dec 17, 2006",1:02,@,Baltimore Ravens,W 27-17,L -12,,Cleveland Browns,O 34.5,
Sun,"Dec 17, 2006",1:02,@,Buffalo Bills,W 21-0,W -1,,Miami Dolphins,U 34.5,
Sun,"Dec 17, 2006",1:02,,Pittsburgh Steelers,W 37-3,W -2.5,@,Carolina Panthers,O 39,
Sun,"Dec 17, 2006",1:02,@,Green Bay Packers,W 17-9,W -6,,Detroit Lions,U 45,
Sun,"Dec 17, 2006",1:02,@,New England Patriots,W 40-7,W -12.5,,Houston Texans,O 37.5,
Sun,"Dec 17, 2006",1:03,,Jacksonville Jaguars,L 17-24,L -3.5,@,Tennessee Titans,P 41,
Sun,"Dec 17, 2006",1:04,@,New Orleans Saints,L 10-16,L -9.5,,Washington Redskins,U 47,
Sun,"Dec 17, 2006",1:05,@,Chicago Bears,W 34-31 (OT),L -13.5,,Tampa Bay Buccaneers,O 35,
Sun,"Dec 17, 2006",1:05,@,Minnesota Vikings,L 13-26,L -3,,New York Jets,U 40.5,
Sun,"Dec 17, 2006",4:05,,Denver Broncos,W 37-20,W -2.5,@,Arizona Cardinals,O 44,
Sun,"Dec 17, 2006",4:15,@,New York Giants,L 22-36,L -6,,Philadelphia Eagles,O 45,
Sun,"Dec 17, 2006",4:15,@,Oakland Raiders,L 0-20,L -2,,St Louis Rams,U 39.5,
Sun,"Dec 17, 2006",8:15,@,San Diego Chargers,W 20-9,W -9,,Kansas City Chiefs,U 47,
Mon,"Dec 18, 2006",8:40,@,Indianapolis Colts,W 34-16,W -3.5,,Cincinnati Bengals,U 55,
