Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Nov 29, 2007",8:16,@,Dallas Cowboys,W 37-27,W -6.5,,Green Bay Packers,O 52.5,
Sun,"Dec 2, 2007",1:00,,San Diego Chargers,W 24-10,W -6,@,Kansas City Chiefs,U 37.5,
Sun,"Dec 2, 2007",1:00,@,St Louis Rams,W 28-16,W -3,,Atlanta Falcons,O 40,
Sun,"Dec 2, 2007",1:02,@,Indianapolis Colts,W 28-25,L -7,,Jacksonville Jaguars,O 45,
Sun,"Dec 2, 2007",1:02,@,Philadelphia Eagles,L 24-28,L -3,,Seattle Seahawks,O 39,
Sun,"Dec 2, 2007",1:02,@,Tennessee Titans,W 28-20,W -3.5,,Houston Texans,O 40,
Sun,"Dec 2, 2007",1:02,@,Washington Redskins,L 16-17,L -6.5,,Buffalo Bills,U 37.5,
Sun,"Dec 2, 2007",1:03,@,Carolina Panthers,W 31-14,W -3,,San Francisco 49ers,O 35,
Sun,"Dec 2, 2007",1:03,@,Miami Dolphins,L 13-40,L -1,,New York Jets,O 37.5,
Sun,"Dec 2, 2007",1:05,@,Minnesota Vikings,W 42-10,W -4.5,,Detroit Lions,O 44.5,
Sun,"Dec 2, 2007",4:05,,Denver Broncos,L 20-34,L -3,@,Oakland Raiders,O 41.5,
Sun,"Dec 2, 2007",4:06,@,Arizona Cardinals,W 27-21,W PK,,Cleveland Browns,U 52,
Sun,"Dec 2, 2007",4:15,,New York Giants,W 21-16,W -1,@,Chicago Bears,U 39,
Sun,"Dec 2, 2007",4:15,@,New Orleans Saints,L 23-27,L -3,,Tampa Bay Buccaneers,O 42,
Sun,"Dec 2, 2007",8:24,@,Pittsburgh Steelers,W 24-10,W -7,,Cincinnati Bengals,U 38,
Mon,"Dec 3, 2007",8:41,,New England Patriots,W 27-24,L -18.5,@,Baltimore Ravens,O 46.5,
