Round,Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
NFC Wild Card,Sat,"Jan 3, 2009",4:36,@,Arizona Cardinals (4),W 30-24,W -2,,Atlanta Falcons (5),O 52
AFC Wild Card,Sat,"Jan 3, 2009",8:08,,Indianapolis Colts (5),L 17-23 (OT),L -1.5,@,San Diego Chargers (4),U 50
AFC Wild Card,Sun,"Jan 4, 2009",1:03,,Baltimore Ravens (6),W 27-9,W -3.5,@,Miami Dolphins (3),U 38
NFC Wild Card,Sun,"Jan 4, 2009",4:40,,Philadelphia Eagles (6),W 26-14,W -3.5,@,Minnesota Vikings (3),U 41
AFC Divisional,Sat,"Jan 10, 2009",4:33,@,Tennessee Titans (1),L 10-13,L -3,,Baltimore Ravens (6),U 33.5
NFC Divisional,Sat,"Jan 10, 2009",8:16,@,Carolina Panthers (2),L 13-33,L -10,,Arizona Cardinals (4),U 49.5
NFC Divisional,Sun,"Jan 11, 2009",1:06,@,New York Giants (1),L 11-23,L -4,,Philadelphia Eagles (6),U 39
AFC Divisional,Sun,"Jan 11, 2009",4:45,@,Pittsburgh Steelers (2),W 35-24,W -6.5,,San Diego Chargers (4),O 38.5
NFC Championship,Sun,"Jan 18, 2009",4:06,,Philadelphia Eagles (6),L 25-32,L -3.5,@,Arizona Cardinals (4),O 47
AFC Championship,Sun,"Jan 18, 2009",6:43,@,Pittsburgh Steelers (2),W 23-14,W -6,,Baltimore Ravens (6),O 35.5
Super Bowl XLIII,Sun,"Feb 1, 2009",6:31,N,Pittsburgh Steelers (2),W 27-23,L -6.5,,Arizona Cardinals (4),O 46.5
