Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Sep 4, 2008",7:08,@,New York Giants,W 16-7,W -4.5,,Washington Redskins,U 41.5,
Sun,"Sep 7, 2008",1:02,@,Buffalo Bills,W 34-10,W -1,,Seattle Seahawks,O 38.5,
Sun,"Sep 7, 2008",1:02,,New York Jets,W 20-14,W -3,@,Miami Dolphins,U 36,
Sun,"Sep 7, 2008",1:02,@,New England Patriots,W 17-10,L -16,,Kansas City Chiefs,U 43.5,
Sun,"Sep 7, 2008",1:02,@,New Orleans Saints,W 24-20,W -3,,Tampa Bay Buccaneers,O 42.5,
Sun,"Sep 7, 2008",1:02,@,Philadelphia Eagles,W 38-3,W -8,,St Louis Rams,U 44,
Sun,"Sep 7, 2008",1:02,@,Pittsburgh Steelers,W 38-17,W -6.5,,Houston Texans,O 43,
Sun,"Sep 7, 2008",1:04,,Detroit Lions,L 21-34,L -3,@,Atlanta Falcons,O 41,
Sun,"Sep 7, 2008",1:05,,Jacksonville Jaguars,L 10-17,L -3,@,Tennessee Titans,U 36.5,
Sun,"Sep 7, 2008",1:06,,Cincinnati Bengals,L 10-17,L -2,@,Baltimore Ravens,U 37.5,
Sun,"Sep 7, 2008",4:15,@,San Diego Chargers,L 24-26,L -9.5,,Carolina Panthers,O 41,
Sun,"Sep 7, 2008",4:16,,Dallas Cowboys,W 28-10,W -6,@,Cleveland Browns,U 48.5,
Sun,"Sep 7, 2008",4:16,,Arizona Cardinals,W 23-13,W -2.5,@,San Francisco 49ers,U 42,
Sun,"Sep 7, 2008",8:23,@,Indianapolis Colts,L 13-29,L -10,,Chicago Bears,U 44,
Mon,"Sep 8, 2008",7:10,@,Green Bay Packers,W 24-19,W -2.5,,Minnesota Vikings,O 37.5,
Mon,"Sep 8, 2008",10:22,,Denver Broncos,W 41-14,W -3,@,Oakland Raiders,O 40.5,
