Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Nov 20, 2008",8:15,@,Pittsburgh Steelers,W 27-10,W -11.5,,Cincinnati Bengals,O 34.5,
Sun,"Nov 23, 2008",1:00,,Buffalo Bills,W 54-31,W -3,@,Kansas City Chiefs,O 43.5,
Sun,"Nov 23, 2008",1:00,,Chicago Bears,W 27-3,W -7,@,St Louis Rams,U 44.5,
Sun,"Nov 23, 2008",1:02,@,Baltimore Ravens,W 36-7,W -2,,Philadelphia Eagles,O 39.5,
Sun,"Nov 23, 2008",1:02,,New England Patriots,W 48-28,W -2,@,Miami Dolphins,O 42.5,
Sun,"Nov 23, 2008",1:02,@,Tennessee Titans,L 13-34,L -5.5,,New York Jets,O 41,
Sun,"Nov 23, 2008",1:03,@,Cleveland Browns,L 6-16,L -3,,Houston Texans,U 49.5,
Sun,"Nov 23, 2008",1:03,@,Dallas Cowboys,W 35-22,W -9.5,,San Francisco 49ers,O 45.5,
Sun,"Nov 23, 2008",1:03,,Tampa Bay Buccaneers,W 38-20,W -8,@,Detroit Lions,O 42.5,
Sun,"Nov 23, 2008",1:05,@,Jacksonville Jaguars,L 12-30,L -2.5,,Minnesota Vikings,O 41.5,
Sun,"Nov 23, 2008",4:05,@,Denver Broncos,L 10-31,L -9,,Oakland Raiders,U 43.5,
Sun,"Nov 23, 2008",4:15,@,Atlanta Falcons,W 45-28,W -1,,Carolina Panthers,O 41.5,
Sun,"Nov 23, 2008",4:16,,New York Giants,W 37-29,W -3,@,Arizona Cardinals,O 48.5,
Sun,"Nov 23, 2008",4:16,,Washington Redskins,W 20-17,P -3,@,Seattle Seahawks,U 40,
Sun,"Nov 23, 2008",8:20,@,San Diego Chargers,L 20-23,L -3,,Indianapolis Colts,U 49,
Mon,"Nov 24, 2008",8:40,@,New Orleans Saints,W 51-29,W -1,,Green Bay Packers,O 52,
