Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Dec 4, 2008",8:15,@,San Diego Chargers,W 34-7,W -9,,Oakland Raiders,P 41,
Sun,"Dec 7, 2008",1:02,@,Chicago Bears,W 23-10,W -6.5,,Jacksonville Jaguars,U 40,
Sun,"Dec 7, 2008",1:02,@,Green Bay Packers,L 21-24,L -7,,Houston Texans,U 47.5,
Sun,"Dec 7, 2008",1:02,@,Indianapolis Colts,W 35-3,W -13.5,,Cincinnati Bengals,U 41.5,
Sun,"Dec 7, 2008",1:02,@,New Orleans Saints,W 29-25,W -3,,Atlanta Falcons,O 51.5,
Sun,"Dec 7, 2008",1:03,,Minnesota Vikings,W 20-16,L -10.5,@,Detroit Lions,U 45.5,
Sun,"Dec 7, 2008",1:04,@,New York Giants,L 14-20,L -7,,Philadelphia Eagles,U 40.5,
Sun,"Dec 7, 2008",1:04,@,Tennessee Titans,W 28-9,W -13.5,,Cleveland Browns,O 36.5,
Sun,"Dec 7, 2008",4:05,@,Buffalo Bills,L 3-16,L -2,,Miami Dolphins,U 42.5,at Toronto
Sun,"Dec 7, 2008",4:05,@,Denver Broncos,W 24-17,L -9,,Kansas City Chiefs,U 49,
Sun,"Dec 7, 2008",4:05,,New York Jets,L 14-24,L -5,@,San Francisco 49ers,U 45.5,
Sun,"Dec 7, 2008",4:06,,New England Patriots,W 24-21,L -7.5,@,Seattle Seahawks,O 43,
Sun,"Dec 7, 2008",4:15,@,Arizona Cardinals,W 34-10,W -14.5,,St Louis Rams,U 48.5,
Sun,"Dec 7, 2008",4:16,@,Pittsburgh Steelers,W 20-13,W -4,,Dallas Cowboys,U 38.5,
Sun,"Dec 7, 2008",8:23,@,Baltimore Ravens,W 24-10,W -6.5,,Washington Redskins,U 35,
Mon,"Dec 8, 2008",8:36,@,Carolina Panthers,W 38-23,W -3,,Tampa Bay Buccaneers,O 38.5,
