Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Dec 11, 2008",8:14,@,Chicago Bears,W 27-24 (OT),P -3,,New Orleans Saints,O 46,
Sun,"Dec 14, 2008",1:00,,San Diego Chargers,W 22-21,L -5.5,@,Kansas City Chiefs,O 41,
Sun,"Dec 14, 2008",1:00,,Seattle Seahawks,W 23-20,W -2.5,@,St Louis Rams,O 42,
Sun,"Dec 14, 2008",1:02,@,Indianapolis Colts,W 31-21,L -17,,Detroit Lions,O 45,
Sun,"Dec 14, 2008",1:02,@,New York Jets,W 31-27,L -8,,Buffalo Bills,O 41,
Sun,"Dec 14, 2008",1:03,@,Atlanta Falcons,W 13-10 (OT),L -4.5,,Tampa Bay Buccaneers,U 43.5,
Sun,"Dec 14, 2008",1:03,,Washington Redskins,L 13-20,L -6.5,@,Cincinnati Bengals,U 36.5,
Sun,"Dec 14, 2008",1:03,@,Miami Dolphins,W 14-9,L -5.5,,San Francisco 49ers,U 41,
Sun,"Dec 14, 2008",1:04,,Green Bay Packers,L 16-20,L -2.5,@,Jacksonville Jaguars,U 46,
Sun,"Dec 14, 2008",1:05,,Tennessee Titans,L 12-13,L -3,@,Houston Texans,U 45,
Sun,"Dec 14, 2008",4:05,@,Arizona Cardinals,L 14-35,L -3.5,,Minnesota Vikings,O 46.5,
Sun,"Dec 14, 2008",4:15,@,Baltimore Ravens,L 9-13,L -3,,Pittsburgh Steelers,U 34,
Sun,"Dec 14, 2008",4:15,@,Carolina Panthers,W 30-10,W -7.5,,Denver Broncos,U 48,
Sun,"Dec 14, 2008",4:15,,New England Patriots,W 49-26,W -7,@,Oakland Raiders,O 39.5,
Sun,"Dec 14, 2008",8:24,@,Dallas Cowboys,W 20-8,W -3,,New York Giants,U 46,
Mon,"Dec 15, 2008",8:40,@,Philadelphia Eagles,W 30-10,W -16,,Cleveland Browns,P 40,
