Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Sep 10, 2009",8:41,@,Pittsburgh Steelers,W 13-10 (OT),L -6.5,,Tennessee Titans,U 35,
Sun,"Sep 13, 2009",1:02,@,Baltimore Ravens,W 38-24,W -13,,Kansas City Chiefs,O 36.5,
Sun,"Sep 13, 2009",1:02,@,Cincinnati Bengals,L 7-12,L -5,,Denver Broncos,U 41,
Sun,"Sep 13, 2009",1:02,@,Indianapolis Colts,W 14-12,L -6,,Jacksonville Jaguars,U 45,
Sun,"Sep 13, 2009",1:03,,Minnesota Vikings,W 34-20,W -4.5,@,Cleveland Browns,O 40,
Sun,"Sep 13, 2009",1:03,@,Houston Texans,L 7-24,L -4.5,,New York Jets,U 45,
Sun,"Sep 13, 2009",1:03,@,New Orleans Saints,W 45-27,W -14,,Detroit Lions,O 50,
Sun,"Sep 13, 2009",1:03,,Dallas Cowboys,W 34-21,W -5,@,Tampa Bay Buccaneers,O 40,
Sun,"Sep 13, 2009",1:04,,Philadelphia Eagles,W 38-10,W -2.5,@,Carolina Panthers,O 43.5,
Sun,"Sep 13, 2009",1:05,@,Atlanta Falcons,W 19-7,W -4,,Miami Dolphins,U 44.5,
Sun,"Sep 13, 2009",1:15,@,Arizona Cardinals,L 16-20,L -4.5,,San Francisco 49ers,U 45,
Sun,"Sep 13, 2009",4:15,@,New York Giants,W 23-17,P -6,,Washington Redskins,O 37,
Sun,"Sep 13, 2009",4:16,@,Seattle Seahawks,W 28-0,W -7,,St Louis Rams,U 41,
Sun,"Sep 13, 2009",8:30,@,Green Bay Packers,W 21-15,W -5,,Chicago Bears,U 47,
Mon,"Sep 14, 2009",7:10,@,New England Patriots,W 25-24,L -13.5,,Buffalo Bills,O 47.5,
Mon,"Sep 14, 2009",10:16,,San Diego Chargers,W 24-20,L -10,@,Oakland Raiders,O 43,
