Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Dec 23, 2010",8:29,@,Pittsburgh Steelers,W 27-3,W -14.5,,Carolina Panthers,U 38,
Sat,"Dec 25, 2010",7:30,,Dallas Cowboys,L 26-27,L -7.5,@,Arizona Cardinals,O 45,
Sun,"Dec 26, 2010",1:00,@,St Louis Rams,W 25-17,W -2.5,,San Francisco 49ers,O 40,
Sun,"Dec 26, 2010",1:02,,New England Patriots,W 34-3,W -9,@,Buffalo Bills,U 45.5,
Sun,"Dec 26, 2010",1:02,@,Chicago Bears,W 38-34,W -3,,New York Jets,O 36,
Sun,"Dec 26, 2010",1:02,,Baltimore Ravens,W 20-10,W -4,@,Cleveland Browns,U 40,
Sun,"Dec 26, 2010",1:03,@,Jacksonville Jaguars,L 17-20 (OT),L -6.5,,Washington Redskins,U 45,
Sun,"Dec 26, 2010",1:03,@,Kansas City Chiefs,W 34-14,W -4,,Tennessee Titans,O 42.5,
Sun,"Dec 26, 2010",1:03,@,Miami Dolphins,L 27-34,L -3.5,,Detroit Lions,O 41,
Sun,"Dec 26, 2010",4:05,,San Diego Chargers,L 20-34,L -8,@,Cincinnati Bengals,O 43.5,
Sun,"Dec 26, 2010",4:05,,Indianapolis Colts,W 31-26,W -2.5,@,Oakland Raiders,O 47.5,
Sun,"Dec 26, 2010",4:06,,Houston Texans,L 23-24,L -2.5,@,Denver Broncos,U 49.5,
Sun,"Dec 26, 2010",4:15,@,Green Bay Packers,W 45-17,W -3,,New York Giants,O 43,
Sun,"Dec 26, 2010",4:16,@,Tampa Bay Buccaneers,W 38-15,W -6,,Seattle Seahawks,O 43.5,
Mon,"Dec 27, 2010",8:40,@,Atlanta Falcons,L 14-17,L -2.5,,New Orleans Saints,U 49.5,
Tue,"Dec 28, 2010",8:06,@,Philadelphia Eagles,L 14-24,L -14.5,,Minnesota Vikings,U 44.5,
