Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Nov 10, 2011",8:29,@,San Diego Chargers,L 17-24,L -7,,Oakland Raiders,U 48,
Sun,"Nov 13, 2011",1:02,,Pittsburgh Steelers,W 24-17,W -4,@,Cincinnati Bengals,O 40.5,
Sun,"Nov 13, 2011",1:02,@,Dallas Cowboys,W 44-7,W -4.5,,Buffalo Bills,O 49,
Sun,"Nov 13, 2011",1:02,,Jacksonville Jaguars,W 17-3,W -3,@,Indianapolis Colts,U 37.5,
Sun,"Nov 13, 2011",1:02,@,Philadelphia Eagles,L 17-21,L -13,,Arizona Cardinals,U 47.5,
Sun,"Nov 13, 2011",1:02,,Houston Texans,W 37-9,W -4,@,Tampa Bay Buccaneers,O 45.5,
Sun,"Nov 13, 2011",1:03,@,Atlanta Falcons,L 23-26 (OT),L -1,,New Orleans Saints,U 50,
Sun,"Nov 13, 2011",1:03,@,Cleveland Browns,L 12-13,L -3,,St Louis Rams,U 36.5,
Sun,"Nov 13, 2011",1:03,@,Kansas City Chiefs,L 10-17,L -3.5,,Denver Broncos,U 42.5,
Sun,"Nov 13, 2011",1:03,@,Miami Dolphins,W 20-9,W -4,,Washington Redskins,U 38,
Sun,"Nov 13, 2011",1:04,@,Carolina Panthers,L 3-30,L -3.5,,Tennessee Titans,U 47.5,
Sun,"Nov 13, 2011",4:06,,Baltimore Ravens,L 17-22,L -7,@,Seattle Seahawks,P 39,
Sun,"Nov 13, 2011",4:15,@,San Francisco 49ers,W 27-20,W -4,,New York Giants,O 42.5,
Sun,"Nov 13, 2011",4:16,@,Chicago Bears,W 37-13,W -3,,Detroit Lions,O 42.5,
Sun,"Nov 13, 2011",8:31,@,New York Jets,L 16-37,L -2.5,,New England Patriots,O 47,
Mon,"Nov 14, 2011",8:40,@,Green Bay Packers,W 45-7,W -13,,Minnesota Vikings,O 50,
