Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Nov 17, 2011",8:30,,New York Jets,L 13-17,L -6.5,@,Denver Broncos,U 38.5,
Sun,"Nov 20, 2011",1:02,@,Baltimore Ravens,W 31-24,P -7,,Cincinnati Bengals,O 40.5,
Sun,"Nov 20, 2011",1:02,@,Cleveland Browns,W 14-10,W -1.5,,Jacksonville Jaguars,U 34.5,
Sun,"Nov 20, 2011",1:02,@,Detroit Lions,W 49-35,W -7,,Carolina Panthers,O 47.5,
Sun,"Nov 20, 2011",1:02,@,Green Bay Packers,W 35-26,L -13.5,,Tampa Bay Buccaneers,O 49,
Sun,"Nov 20, 2011",1:02,@,Miami Dolphins,W 35-8,W -3,,Buffalo Bills,U 44,
Sun,"Nov 20, 2011",1:03,,Dallas Cowboys,W 27-24 (OT),L -7,@,Washington Redskins,O 43,
Sun,"Nov 20, 2011",1:05,@,Minnesota Vikings,L 21-27,L -2,,Oakland Raiders,O 46.5,
Sun,"Nov 20, 2011",4:05,@,San Francisco 49ers,W 23-7,W -10,,Arizona Cardinals,U 40.5,
Sun,"Nov 20, 2011",4:05,@,St Louis Rams,L 7-24,L -3,,Seattle Seahawks,U 40,
Sun,"Nov 20, 2011",4:15,@,Atlanta Falcons,W 23-17,L -6.5,,Tennessee Titans,U 44,
Sun,"Nov 20, 2011",4:16,@,Chicago Bears,W 31-20,W -4.5,,San Diego Chargers,O 45.5,
Sun,"Nov 20, 2011",8:32,@,New York Giants,L 10-17,L -6,,Philadelphia Eagles,U 45.5,
Mon,"Nov 21, 2011",8:40,@,New England Patriots,W 34-3,W -17,,Kansas City Chiefs,U 47,
