Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sat,"Dec 22, 2012",8:40,,Atlanta Falcons,W 31-18,W -4,@,Detroit Lions,U 50.5,
Sun,"Dec 23, 2012",1:02,@,Dallas Cowboys,L 31-34 (OT),L -3,,New Orleans Saints,O 54.5,
Sun,"Dec 23, 2012",1:02,@,Green Bay Packers,W 55-7,W -11,,Tennessee Titans,O 44.5,
Sun,"Dec 23, 2012",1:02,,New England Patriots,W 23-16,L -14.5,@,Jacksonville Jaguars,U 51,
Sun,"Dec 23, 2012",1:02,@,Miami Dolphins,W 24-10,W -5,,Buffalo Bills,U 43,
Sun,"Dec 23, 2012",1:02,@,Pittsburgh Steelers,L 10-13,L -3.5,,Cincinnati Bengals,U 40,
Sun,"Dec 23, 2012",1:03,@,Houston Texans,L 6-23,L -7.5,,Minnesota Vikings,U 43.5,
Sun,"Dec 23, 2012",1:03,,Indianapolis Colts,W 20-13,W -6,@,Kansas City Chiefs,U 41.5,
Sun,"Dec 23, 2012",1:03,@,New York Jets,L 17-27,L -3,,San Diego Chargers,O 38,
Sun,"Dec 23, 2012",1:03,,Washington Redskins,W 27-20,W -6,@,Philadelphia Eagles,O 46,
Sun,"Dec 23, 2012",1:03,@,Tampa Bay Buccaneers,L 13-28,L -3,,St Louis Rams,U 44,
Sun,"Dec 23, 2012",1:04,@,Carolina Panthers,W 17-6,W -9.5,,Oakland Raiders,U 47,
Sun,"Dec 23, 2012",4:05,@,Denver Broncos,W 34-12,W -11,,Cleveland Browns,O 44,
Sun,"Dec 23, 2012",4:25,,Chicago Bears,W 28-13,W -7,@,Arizona Cardinals,O 36.5,
Sun,"Dec 23, 2012",4:25,,New York Giants,L 14-33,L -2.5,@,Baltimore Ravens,P 47,
Sun,"Dec 23, 2012",8:31,@,Seattle Seahawks,W 42-13,W -2,,San Francisco 49ers,O 40.5,
