Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Sep 27, 2012",8:30,@,Baltimore Ravens,W 23-16,L -11.5,,Cleveland Browns,U 43.5,
Sun,"Sep 30, 2012",1:00,,Seattle Seahawks,L 13-19,L -2.5,@,St Louis Rams,U 39,
Sun,"Sep 30, 2012",1:02,,New England Patriots,W 52-28,W -4.5,@,Buffalo Bills,O 48.5,
Sun,"Sep 30, 2012",1:03,@,Atlanta Falcons,W 30-28,L -7,,Carolina Panthers,O 48,
Sun,"Sep 30, 2012",1:03,@,Detroit Lions,L 13-20,L -4,,Minnesota Vikings,U 48.5,
Sun,"Sep 30, 2012",1:03,@,Houston Texans,W 38-14,W -13.5,,Tennessee Titans,O 45,
Sun,"Sep 30, 2012",1:03,,San Diego Chargers,W 37-20,W -2.5,@,Kansas City Chiefs,O 43.5,
Sun,"Sep 30, 2012",1:03,,San Francisco 49ers,W 34-0,W -4,@,New York Jets,U 41,
Sun,"Sep 30, 2012",4:05,@,Arizona Cardinals,W 24-21 (OT),L -4,,Miami Dolphins,O 39.5,
Sun,"Sep 30, 2012",4:05,@,Denver Broncos,W 37-6,W -6.5,,Oakland Raiders,U 47,
Sun,"Sep 30, 2012",4:05,@,Jacksonville Jaguars,L 10-27,L -1.5,,Cincinnati Bengals,U 45.5,
Sun,"Sep 30, 2012",4:25,@,Green Bay Packers,W 28-27,L -7.5,,New Orleans Saints,O 54,
Sun,"Sep 30, 2012",4:25,@,Tampa Bay Buccaneers,L 22-24,L -2,,Washington Redskins,O 45,
Sun,"Sep 30, 2012",8:30,@,Philadelphia Eagles,W 19-17,W -1.5,,New York Giants,U 46.5,
Mon,"Oct 1, 2012",8:40,@,Dallas Cowboys,L 18-34,L -3,,Chicago Bears,O 41.5,
