Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Oct 18, 2012",8:29,@,San Francisco 49ers,W 13-6,L -7.5,,Seattle Seahawks,U 37.5,
Sun,"Oct 21, 2012",1:00,,Green Bay Packers,W 30-20,W -5,@,St Louis Rams,O 45,
Sun,"Oct 21, 2012",1:02,@,Buffalo Bills,L 34-35,L -4.5,,Tennessee Titans,O 46.5,
Sun,"Oct 21, 2012",1:02,@,Houston Texans,W 43-13,W -6.5,,Baltimore Ravens,O 47.5,
Sun,"Oct 21, 2012",1:02,@,Indianapolis Colts,W 17-13,W -1,,Cleveland Browns,U 46.5,
Sun,"Oct 21, 2012",1:02,,New Orleans Saints,W 35-28,W -1.5,@,Tampa Bay Buccaneers,O 49.5,
Sun,"Oct 21, 2012",1:03,,Dallas Cowboys,W 19-14,W -2.5,@,Carolina Panthers,U 45,
Sun,"Oct 21, 2012",1:03,@,New York Giants,W 27-23,L -6.5,,Washington Redskins,U 51.5,
Sun,"Oct 21, 2012",1:05,@,Minnesota Vikings,W 21-14,W -6.5,,Arizona Cardinals,U 39.5,
Sun,"Oct 21, 2012",4:25,@,New England Patriots,W 29-26 (OT),L -10.5,,New York Jets,O 47,
Sun,"Oct 21, 2012",4:25,@,Oakland Raiders,W 26-23 (OT),L -6,,Jacksonville Jaguars,O 44,
Sun,"Oct 21, 2012",8:30,@,Cincinnati Bengals,L 17-24,L -1,,Pittsburgh Steelers,U 45.5,
Mon,"Oct 22, 2012",8:40,@,Chicago Bears,W 13-7,L -6.5,,Detroit Lions,U 47,
