Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Nov 1, 2012",8:27,@,San Diego Chargers,W 31-13,W -7,,Kansas City Chiefs,O 41,
Sun,"Nov 4, 2012",1:02,,Denver Broncos,W 31-23,W -5.5,@,Cincinnati Bengals,O 47.5,
Sun,"Nov 4, 2012",1:02,@,Green Bay Packers,W 31-17,W -10.5,,Arizona Cardinals,O 43.5,
Sun,"Nov 4, 2012",1:02,@,Houston Texans,W 21-9,W -11.5,,Buffalo Bills,U 48,
Sun,"Nov 4, 2012",1:02,,Miami Dolphins,L 20-23,L -2,@,Indianapolis Colts,U 43.5,
Sun,"Nov 4, 2012",1:03,,Baltimore Ravens,W 25-15,W -3.5,@,Cleveland Browns,U 44,
Sun,"Nov 4, 2012",1:04,,Detroit Lions,W 31-14,W -6,@,Jacksonville Jaguars,O 44,
Sun,"Nov 4, 2012",1:04,,Chicago Bears,W 51-20,W -5,@,Tennessee Titans,O 43.5,
Sun,"Nov 4, 2012",1:05,@,Washington Redskins,L 13-21,L -3,,Carolina Panthers,U 48.5,
Sun,"Nov 4, 2012",4:05,@,Oakland Raiders,L 32-42,L -1,,Tampa Bay Buccaneers,O 47.5,
Sun,"Nov 4, 2012",4:06,@,Seattle Seahawks,W 30-20,W -4,,Minnesota Vikings,O 38.5,
Sun,"Nov 4, 2012",4:26,@,New York Giants,L 20-24,L -3.5,,Pittsburgh Steelers,U 47.5,
Sun,"Nov 4, 2012",8:31,@,Atlanta Falcons,W 19-13,W -4.5,,Dallas Cowboys,U 47.5,
Mon,"Nov 5, 2012",8:40,@,New Orleans Saints,W 28-13,W -3,,Philadelphia Eagles,U 52,
