Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Sep 5, 2013",9:13,@,Denver Broncos,W 49-27,W -7.5,,Baltimore Ravens,O 48,
Sun,"Sep 8, 2013",1:02,,New England Patriots,W 23-21,L -10.5,@,Buffalo Bills,U 50.5,
Sun,"Sep 8, 2013",1:02,@,Chicago Bears,W 24-21,P -3,,Cincinnati Bengals,O 41.5,
Sun,"Sep 8, 2013",1:02,@,Cleveland Browns,L 10-23,L -2.5,,Miami Dolphins,U 40.5,
Sun,"Sep 8, 2013",1:02,@,Detroit Lions,W 34-24,W -4.5,,Minnesota Vikings,O 46,
Sun,"Sep 8, 2013",1:02,@,Indianapolis Colts,W 21-17,L -11.5,,Oakland Raiders,U 45,
Sun,"Sep 8, 2013",1:02,@,Pittsburgh Steelers,L 9-16,L -6,,Tennessee Titans,U 42,
Sun,"Sep 8, 2013",1:03,,Kansas City Chiefs,W 28-2,W -4.5,@,Jacksonville Jaguars,U 42.5,
Sun,"Sep 8, 2013",1:03,@,New Orleans Saints,W 23-17,W -3.5,,Atlanta Falcons,U 54.5,
Sun,"Sep 8, 2013",1:03,,Tampa Bay Buccaneers,L 17-18,L -6,@,New York Jets,U 40,
Sun,"Sep 8, 2013",1:04,,Seattle Seahawks,W 12-7,W -3.5,@,Carolina Panthers,U 44.5,
Sun,"Sep 8, 2013",4:23,@,St Louis Rams,W 27-24,L -3.5,,Arizona Cardinals,O 41.5,
Sun,"Sep 8, 2013",4:26,@,San Francisco 49ers,W 34-28,W -5,,Green Bay Packers,O 48,
Sun,"Sep 8, 2013",8:30,@,Dallas Cowboys,W 36-31,W -3.5,,New York Giants,O 49.5,
Mon,"Sep 9, 2013",7:10,@,Washington Redskins,L 27-33,L -4.5,,Philadelphia Eagles,O 52,
Mon,"Sep 9, 2013",10:25,,Houston Texans,W 31-28,L -6.5,@,San Diego Chargers,O 44,
