Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Nov 14, 2013",8:29,,Indianapolis Colts,W 30-27,P -3,@,Tennessee Titans,O 42,
Sun,"Nov 17, 2013",1:02,,New York Jets,L 14-37,L -2,@,Buffalo Bills,O 39.5,
Sun,"Nov 17, 2013",1:02,@,Chicago Bears,W 23-20 (OT),L -3.5,,Baltimore Ravens,O 40.5,
Sun,"Nov 17, 2013",1:02,@,Cincinnati Bengals,W 41-20,W -4.5,,Cleveland Browns,O 40,
Sun,"Nov 17, 2013",1:02,@,Philadelphia Eagles,W 24-16,W -4,,Washington Redskins,U 54.5,
Sun,"Nov 17, 2013",1:02,,Detroit Lions,L 27-37,L -3,@,Pittsburgh Steelers,O 45,
Sun,"Nov 17, 2013",1:03,@,Houston Texans,L 23-28,L -10.5,,Oakland Raiders,O 41,
Sun,"Nov 17, 2013",1:03,@,Tampa Bay Buccaneers,W 41-28,W -2,,Atlanta Falcons,O 43.5,
Sun,"Nov 17, 2013",1:04,,Arizona Cardinals,W 27-14,W -9,@,Jacksonville Jaguars,O 40.5,
Sun,"Nov 17, 2013",4:05,,San Diego Chargers,L 16-20,L -3,@,Miami Dolphins,U 44.5,
Sun,"Nov 17, 2013",4:25,@,New Orleans Saints,W 23-20,L -3.5,,San Francisco 49ers,U 50,
Sun,"Nov 17, 2013",4:25,@,New York Giants,W 27-13,W -3,,Green Bay Packers,U 41,
Sun,"Nov 17, 2013",4:26,@,Seattle Seahawks,W 41-20,W -13,,Minnesota Vikings,O 45,
Sun,"Nov 17, 2013",8:30,@,Denver Broncos,W 27-17,W -7.5,,Kansas City Chiefs,U 49,
Mon,"Nov 18, 2013",8:42,@,Carolina Panthers,W 24-20,W -3,,New England Patriots,U 46.5,
