Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Nov 21, 2013",8:30,,New Orleans Saints,W 17-13,L -7,@,Atlanta Falcons,U 52.5,
Sun,"Nov 24, 2013",1:00,@,St Louis Rams,W 42-21,W -1.5,,Chicago Bears,O 46,
Sun,"Nov 24, 2013",1:02,@,Baltimore Ravens,W 19-3,W -3.5,,New York Jets,U 38,
Sun,"Nov 24, 2013",1:02,@,Green Bay Packers,T 26-26 (OT),L -5.5,,Minnesota Vikings,O 44.5,
Sun,"Nov 24, 2013",1:02,,Jacksonville Jaguars,W 13-6,W -2,@,Houston Texans,U 44,
Sun,"Nov 24, 2013",1:03,@,Cleveland Browns,L 11-27,L -2,,Pittsburgh Steelers,U 40,
Sun,"Nov 24, 2013",1:03,@,Detroit Lions,L 21-24,L -7,,Tampa Bay Buccaneers,U 48.5,
Sun,"Nov 24, 2013",1:03,@,Kansas City Chiefs,L 38-41,L -3,,San Diego Chargers,O 43,
Sun,"Nov 24, 2013",1:03,,Carolina Panthers,W 20-16,P -4,@,Miami Dolphins,U 40,
Sun,"Nov 24, 2013",4:05,@,Arizona Cardinals,W 40-11,W -3,,Indianapolis Colts,O 44.5,
Sun,"Nov 24, 2013",4:05,,Tennessee Titans,W 23-19,W -2,@,Oakland Raiders,P 42,
Sun,"Nov 24, 2013",4:25,@,New York Giants,L 21-24,L -2.5,,Dallas Cowboys,O 44.5,
Sun,"Nov 24, 2013",8:30,,Denver Broncos,L 31-34 (OT),L -2.5,@,New England Patriots,O 54,
Mon,"Nov 25, 2013",8:40,,San Francisco 49ers,W 27-6,W -5,@,Washington Redskins,U 45.5,
