Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Dec 12, 2013",8:29,@,Denver Broncos,L 20-27,L -9.5,,San Diego Chargers,U 56.5,
Sun,"Dec 15, 2013",1:02,@,Indianapolis Colts,W 25-3,W -6,,Houston Texans,U 47,
Sun,"Dec 15, 2013",1:02,,Buffalo Bills,W 27-20,W -4,@,Jacksonville Jaguars,O 43,
Sun,"Dec 15, 2013",1:02,@,Miami Dolphins,W 24-20,W -2.5,,New England Patriots,U 46.5,
Sun,"Dec 15, 2013",1:02,,Philadelphia Eagles,L 30-48,L -7,@,Minnesota Vikings,O 53,
Sun,"Dec 15, 2013",1:02,,San Francisco 49ers,W 33-14,W -4.5,@,Tampa Bay Buccaneers,O 41,
Sun,"Dec 15, 2013",1:03,@,Atlanta Falcons,W 27-26,L -5.5,,Washington Redskins,O 50,
Sun,"Dec 15, 2013",1:03,@,Cleveland Browns,L 31-38,L -1,,Chicago Bears,O 43.5,
Sun,"Dec 15, 2013",1:03,,Seattle Seahawks,W 23-0,W -9.5,@,New York Giants,U 43.5,
Sun,"Dec 15, 2013",4:05,@,Carolina Panthers,W 30-20,P -10,,New York Jets,O 41,
Sun,"Dec 15, 2013",4:05,,Kansas City Chiefs,W 56-31,W -6,@,Oakland Raiders,O 44,
Sun,"Dec 15, 2013",4:25,@,Dallas Cowboys,L 36-37,L -4,,Green Bay Packers,O 50,
Sun,"Dec 15, 2013",4:25,,New Orleans Saints,L 16-27,L -7,@,St Louis Rams,U 47.5,
Sun,"Dec 15, 2013",4:27,,Arizona Cardinals,W 37-34 (OT),P -3,@,Tennessee Titans,O 43,
Sun,"Dec 15, 2013",8:30,,Cincinnati Bengals,L 20-30,L -1.5,@,Pittsburgh Steelers,O 44.5,
Mon,"Dec 16, 2013",8:40,@,Detroit Lions,L 16-18,L -5.5,,Baltimore Ravens,U 49,
