Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Sep 12, 2013",8:29,@,New England Patriots,W 13-10,L -11.5,,New York Jets,U 43,
Sun,"Sep 15, 2013",1:02,@,Baltimore Ravens,W 14-6,W -7,,Cleveland Browns,U 43.5,
Sun,"Sep 15, 2013",1:02,,Carolina Panthers,L 23-24,L -3.5,@,Buffalo Bills,O 43.5,
Sun,"Sep 15, 2013",1:02,@,Green Bay Packers,W 38-20,W -8,,Washington Redskins,O 48.5,
Sun,"Sep 15, 2013",1:02,@,Indianapolis Colts,L 20-24,L -3,,Miami Dolphins,O 43.5,
Sun,"Sep 15, 2013",1:02,@,Kansas City Chiefs,W 17-16,L -3,,Dallas Cowboys,U 45,
Sun,"Sep 15, 2013",1:02,@,Philadelphia Eagles,L 30-33,L -7.5,,San Diego Chargers,O 51,
Sun,"Sep 15, 2013",1:03,@,Atlanta Falcons,W 31-24,W -5.5,,St Louis Rams,O 47.5,
Sun,"Sep 15, 2013",1:03,@,Chicago Bears,W 31-30,L -6.5,,Minnesota Vikings,O 41,
Sun,"Sep 15, 2013",1:03,@,Houston Texans,W 30-24 (OT),L -9,,Tennessee Titans,O 42.5,
Sun,"Sep 15, 2013",4:05,,Detroit Lions,L 21-25,L -2,@,Arizona Cardinals,U 47.5,
Sun,"Sep 15, 2013",4:05,,New Orleans Saints,W 16-14,L -4,@,Tampa Bay Buccaneers,U 48.5,
Sun,"Sep 15, 2013",4:25,,Denver Broncos,W 41-23,W -4,@,New York Giants,O 52.5,
Sun,"Sep 15, 2013",4:25,@,Oakland Raiders,W 19-9,W -5,,Jacksonville Jaguars,U 40.5,
Sun,"Sep 15, 2013",8:31,@,Seattle Seahawks,W 29-3,W -2.5,,San Francisco 49ers,U 43.5,
Mon,"Sep 16, 2013",8:41,@,Cincinnati Bengals,W 20-10,W -6.5,,Pittsburgh Steelers,U 40,
