Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Oct 3, 2013",8:29,@,Cleveland Browns,W 37-24,W -4,,Buffalo Bills,O 40.5,
Sun,"Oct 6, 2013",1:00,@,St Louis Rams,W 34-20,W -11,,Jacksonville Jaguars,O 40.5,
Sun,"Oct 6, 2013",1:02,,New Orleans Saints,W 26-18,W -1.5,@,Chicago Bears,U 50.5,
Sun,"Oct 6, 2013",1:02,,New England Patriots,L 6-13,L -1,@,Cincinnati Bengals,U 45.5,
Sun,"Oct 6, 2013",1:02,@,Green Bay Packers,W 22-9,W -9.5,,Detroit Lions,U 53,
Sun,"Oct 6, 2013",1:02,@,Miami Dolphins,L 23-26,L -2.5,,Baltimore Ravens,O 42.5,
Sun,"Oct 6, 2013",1:02,@,New York Giants,L 21-36,L -1.5,,Philadelphia Eagles,O 53.5,
Sun,"Oct 6, 2013",1:03,,Seattle Seahawks,L 28-34,L -3,@,Indianapolis Colts,O 43.5,
Sun,"Oct 6, 2013",1:03,,Kansas City Chiefs,W 26-17,W -3,@,Tennessee Titans,O 38,
Sun,"Oct 6, 2013",4:05,,Carolina Panthers,L 6-22,L -3,@,Arizona Cardinals,U 41.5,
Sun,"Oct 6, 2013",4:25,,Denver Broncos,W 51-48,L -9,@,Dallas Cowboys,O 56,
Sun,"Oct 6, 2013",8:31,@,San Francisco 49ers,W 34-3,W -4.5,,Houston Texans,U 43,
Sun,"Oct 6, 2013",11:35,,San Diego Chargers,L 17-27,L -5,@,Oakland Raiders,U 46,
Mon,"Oct 7, 2013",8:40,@,Atlanta Falcons,L 28-30,L -10.5,,New York Jets,O 45,
