Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Sep 18, 2014",8:26,@,Atlanta Falcons,W 56-14,W -6,,Tampa Bay Buccaneers,O 46,
Sun,"Sep 21, 2014",1:00,,Dallas Cowboys,W 34-31,W -1.5,@,St Louis Rams,O 44,
Sun,"Sep 21, 2014",1:02,@,Buffalo Bills,L 10-22,L -2.5,,San Diego Chargers,U 45.5,
Sun,"Sep 21, 2014",1:02,@,Cincinnati Bengals,W 33-7,W -6.5,,Tennessee Titans,U 42.5,
Sun,"Sep 21, 2014",1:02,,Baltimore Ravens,W 23-21,P -2,@,Cleveland Browns,O 41.5,
Sun,"Sep 21, 2014",1:02,@,Detroit Lions,W 19-7,W -2.5,,Green Bay Packers,U 52.5,
Sun,"Sep 21, 2014",1:02,,Indianapolis Colts,W 44-17,W -7,@,Jacksonville Jaguars,O 45,
Sun,"Sep 21, 2014",1:02,@,New England Patriots,W 16-9,L -14,,Oakland Raiders,U 46.5,
Sun,"Sep 21, 2014",1:02,@,New York Giants,W 30-17,W -1.5,,Houston Texans,O 41.5,
Sun,"Sep 21, 2014",1:02,@,Philadelphia Eagles,W 37-34,L -6,,Washington Redskins,O 50.5,
Sun,"Sep 21, 2014",1:03,@,New Orleans Saints,W 20-9,W -10,,Minnesota Vikings,U 49,
Sun,"Sep 21, 2014",4:05,,San Francisco 49ers,L 14-23,L -3,@,Arizona Cardinals,U 42,
Sun,"Sep 21, 2014",4:25,@,Miami Dolphins,L 15-34,L -3.5,,Kansas City Chiefs,O 42.5,
Sun,"Sep 21, 2014",4:25,@,Seattle Seahawks,W 26-20 (OT),W -4.5,,Denver Broncos,U 48.5,
Sun,"Sep 21, 2014",8:31,@,Carolina Panthers,L 19-37,L -3,,Pittsburgh Steelers,O 42,
Mon,"Sep 22, 2014",8:30,@,New York Jets,L 19-27,L -2.5,,Chicago Bears,O 44,
