Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Sep 25, 2014",8:26,@,Washington Redskins,L 14-45,L -3.5,,New York Giants,O 46,
Sun,"Sep 28, 2014",1:02,@,Baltimore Ravens,W 38-10,W -3,,Carolina Panthers,O 42,
Sun,"Sep 28, 2014",1:02,,Green Bay Packers,W 38-17,W -1.5,@,Chicago Bears,O 51.5,
Sun,"Sep 28, 2014",1:02,@,Houston Texans,W 23-17,W -3,,Buffalo Bills,U 42.5,
Sun,"Sep 28, 2014",1:02,,Detroit Lions,W 24-17,W -1.5,@,New York Jets,U 45,
Sun,"Sep 28, 2014",1:03,@,Indianapolis Colts,W 41-17,W -7.5,,Tennessee Titans,O 46,
Sun,"Sep 28, 2014",1:03,@,Pittsburgh Steelers,L 24-27,L -7.5,,Tampa Bay Buccaneers,O 45,
Sun,"Sep 28, 2014",1:06,N,Oakland Raiders,L 14-38,L -3.5,,Miami Dolphins,O 40.5,at London
Sun,"Sep 28, 2014",4:05,@,San Diego Chargers,W 33-14,W -12.5,,Jacksonville Jaguars,O 45,
Sun,"Sep 28, 2014",4:25,,Atlanta Falcons,L 28-41,L -3,@,Minnesota Vikings,O 47,
Sun,"Sep 28, 2014",4:25,@,San Francisco 49ers,W 26-21,P -5,,Philadelphia Eagles,U 50,
Sun,"Sep 28, 2014",8:31,,New Orleans Saints,L 17-38,L -3,@,Dallas Cowboys,O 53.5,
Mon,"Sep 29, 2014",8:31,,New England Patriots,L 14-41,L -3,@,Kansas City Chiefs,O 46,
