Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Oct 16, 2014",8:25,@,New England Patriots,W 27-25,L -9.5,,New York Jets,O 44.5,
Sun,"Oct 19, 2014",1:00,@,Chicago Bears,L 14-27,L -3,,Miami Dolphins,U 47.5,
Sun,"Oct 19, 2014",1:00,,Seattle Seahawks,L 26-28,L -7,@,St Louis Rams,O 43.5,
Sun,"Oct 19, 2014",1:02,@,Baltimore Ravens,W 29-7,W -6.5,,Atlanta Falcons,U 49.5,
Sun,"Oct 19, 2014",1:02,@,Buffalo Bills,W 17-16,L -6.5,,Minnesota Vikings,U 43.5,
Sun,"Oct 19, 2014",1:02,@,Detroit Lions,W 24-23,L -1.5,,New Orleans Saints,O 46.5,
Sun,"Oct 19, 2014",1:02,@,Green Bay Packers,W 38-17,W -6.5,,Carolina Panthers,O 49,
Sun,"Oct 19, 2014",1:02,@,Indianapolis Colts,W 27-0,W -3.5,,Cincinnati Bengals,U 50.5,
Sun,"Oct 19, 2014",1:02,,Cleveland Browns,L 6-24,L -4,@,Jacksonville Jaguars,U 45,
Sun,"Oct 19, 2014",1:02,@,Washington Redskins,W 19-17,L -6,,Tennessee Titans,U 46.5,
Sun,"Oct 19, 2014",4:05,@,San Diego Chargers,L 20-23,L -3,,Kansas City Chiefs,U 46,
Sun,"Oct 19, 2014",4:25,@,Dallas Cowboys,W 31-21,W -5.5,,New York Giants,O 47,
Sun,"Oct 19, 2014",4:25,,Arizona Cardinals,W 24-13,W -3.5,@,Oakland Raiders,U 46.5,
Sun,"Oct 19, 2014",8:30,@,Denver Broncos,W 42-17,W -6.5,,San Francisco 49ers,O 48.5,
Mon,"Oct 20, 2014",8:30,@,Pittsburgh Steelers,W 30-23,W -3,,Houston Texans,O 44.5,
