Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Oct 30, 2014",8:30,,New Orleans Saints,W 28-10,W -3,@,Carolina Panthers,U 49,
Sun,"Nov 2, 2014",1:02,@,Cincinnati Bengals,W 33-23,P -10,,Jacksonville Jaguars,O 44,
Sun,"Nov 2, 2014",1:02,@,Cleveland Browns,W 22-17,L -7,,Tampa Bay Buccaneers,U 44,
Sun,"Nov 2, 2014",1:02,@,Miami Dolphins,W 37-0,W -3,,San Diego Chargers,U 45,
Sun,"Nov 2, 2014",1:03,,Philadelphia Eagles,W 31-21,W -2,@,Houston Texans,O 48.5,
Sun,"Nov 2, 2014",1:03,@,Kansas City Chiefs,W 24-10,W -8.5,,New York Jets,U 41.5,
Sun,"Nov 2, 2014",1:03,@,Minnesota Vikings,W 29-26,W PK,,Washington Redskins,O 44,
Sun,"Nov 2, 2014",1:04,@,Dallas Cowboys,L 17-28,L -1.5,,Arizona Cardinals,P 45,
Sun,"Nov 2, 2014",4:05,@,San Francisco 49ers,L 10-13,L -10.5,,St Louis Rams,U 44,
Sun,"Nov 2, 2014",4:25,,Denver Broncos,L 21-43,L -3,@,New England Patriots,O 52.5,
Sun,"Nov 2, 2014",4:26,@,Seattle Seahawks,W 30-24,L -13.5,,Oakland Raiders,O 44,
Sun,"Nov 2, 2014",8:30,@,Pittsburgh Steelers,W 43-23,W -2.5,,Baltimore Ravens,O 47.5,
Mon,"Nov 3, 2014",8:31,,Indianapolis Colts,W 40-24,W -3,@,New York Giants,O 50,
