Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Nov 19, 2015",8:26,@,Jacksonville Jaguars,W 19-13,W -2.5,,Tennessee Titans,U 43,
Sun,"Nov 22, 2015",1:02,@,Atlanta Falcons,L 21-24,L -4.5,,Indianapolis Colts,U 47.5,
Sun,"Nov 22, 2015",1:02,@,Baltimore Ravens,W 16-13,W -2.5,,St Louis Rams,U 42,
Sun,"Nov 22, 2015",1:02,@,Carolina Panthers,W 44-16,W -7,,Washington Redskins,O 44.5,
Sun,"Nov 22, 2015",1:02,,Denver Broncos,W 17-15,W -1,@,Chicago Bears,U 41,
Sun,"Nov 22, 2015",1:02,,Oakland Raiders,L 13-18,L -1,@,Detroit Lions,U 49,
Sun,"Nov 22, 2015",1:02,@,Philadelphia Eagles,L 17-45,L -6,,Tampa Bay Buccaneers,O 44.5,
Sun,"Nov 22, 2015",1:03,,New York Jets,L 17-24,L -3,@,Houston Texans,O 40.5,
Sun,"Nov 22, 2015",1:03,,Dallas Cowboys,W 24-14,W -1.5,@,Miami Dolphins,U 46,
Sun,"Nov 22, 2015",4:05,,Kansas City Chiefs,W 33-3,W -3,@,San Diego Chargers,U 45,
Sun,"Nov 22, 2015",4:25,@,Minnesota Vikings,L 13-30,L -1,,Green Bay Packers,U 44,
Sun,"Nov 22, 2015",4:27,@,Seattle Seahawks,W 29-13,W -13.5,,San Francisco 49ers,O 40,
Sun,"Nov 22, 2015",8:30,@,Arizona Cardinals,W 34-31,L -4.5,,Cincinnati Bengals,O 48.5,
Mon,"Nov 23, 2015",8:30,@,New England Patriots,W 20-13,P -7,,Buffalo Bills,U 48,
