Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Dec 10, 2015",8:25,@,Arizona Cardinals,W 23-20,L -8.5,,Minnesota Vikings,U 46.5,
Sun,"Dec 13, 2015",1:01,@,Philadelphia Eagles,W 23-20,W -1,,Buffalo Bills,U 47,
Sun,"Dec 13, 2015",1:02,,Seattle Seahawks,W 35-6,W -11,@,Baltimore Ravens,P 41,
Sun,"Dec 13, 2015",1:02,@,Chicago Bears,L 21-24,L -3.5,,Washington Redskins,O 43,
Sun,"Dec 13, 2015",1:02,@,Cincinnati Bengals,L 20-33,L -2.5,,Pittsburgh Steelers,O 50,
Sun,"Dec 13, 2015",1:02,@,Cleveland Browns,W 24-10,W -1.5,,San Francisco 49ers,U 41.5,
Sun,"Dec 13, 2015",1:02,@,Jacksonville Jaguars,W 51-16,W -1.5,,Indianapolis Colts,O 46,
Sun,"Dec 13, 2015",1:02,@,New York Jets,W 30-8,W -7,,Tennessee Titans,U 43,
Sun,"Dec 13, 2015",1:02,,Detroit Lions,L 14-21,L -3.5,@,St Louis Rams,U 41,
Sun,"Dec 13, 2015",1:02,@,Tampa Bay Buccaneers,L 17-24,L -4.5,,New Orleans Saints,U 50.5,
Sun,"Dec 13, 2015",1:03,@,Carolina Panthers,W 38-0,W -7.5,,Atlanta Falcons,U 46.5,
Sun,"Dec 13, 2015",1:03,@,Kansas City Chiefs,W 10-3,L -10.5,,San Diego Chargers,U 44,
Sun,"Dec 13, 2015",4:05,@,Denver Broncos,L 12-15,L -6.5,,Oakland Raiders,U 43.5,
Sun,"Dec 13, 2015",4:25,@,Green Bay Packers,W 28-7,W -6.5,,Dallas Cowboys,U 42.5,
Sun,"Dec 13, 2015",8:31,,New England Patriots,W 27-6,W -3.5,@,Houston Texans,U 45,
Mon,"Dec 14, 2015",8:30,,New York Giants,W 31-24,W -1,@,Miami Dolphins,O 46.5,
