Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Dec 24, 2015",8:26,@,Oakland Raiders,W 23-20 (OT),L -6,,San Diego Chargers,U 46.5,
Sat,"Dec 26, 2015",8:26,@,Philadelphia Eagles,L 24-38,L -3,,Washington Redskins,O 48,
Sun,"Dec 27, 2015",1:02,,Carolina Panthers,L 13-20,L -6.5,@,Atlanta Falcons,U 47.5,
Sun,"Dec 27, 2015",1:02,,Pittsburgh Steelers,L 17-20,L -10,@,Baltimore Ravens,U 47,
Sun,"Dec 27, 2015",1:02,@,Buffalo Bills,W 16-6,W -6.5,,Dallas Cowboys,U 42,
Sun,"Dec 27, 2015",1:02,@,Miami Dolphins,L 12-18,L -2.5,,Indianapolis Colts,U 43,
Sun,"Dec 27, 2015",1:02,,New England Patriots,L 20-26 (OT),L -3,@,New York Jets,O 45,
Sun,"Dec 27, 2015",1:02,,Houston Texans,W 34-6,W -3.5,@,Tennessee Titans,P 40,
Sun,"Dec 27, 2015",1:03,@,Detroit Lions,W 32-17,W -9.5,,San Francisco 49ers,O 42,
Sun,"Dec 27, 2015",1:03,@,Kansas City Chiefs,W 17-13,L -10.5,,Cleveland Browns,U 42.5,
Sun,"Dec 27, 2015",1:03,@,Tampa Bay Buccaneers,L 21-26,L -3,,Chicago Bears,O 45,
Sun,"Dec 27, 2015",4:05,@,New Orleans Saints,W 38-27,W -3,,Jacksonville Jaguars,O 51.5,
Sun,"Dec 27, 2015",4:25,@,Arizona Cardinals,W 38-8,W -4.5,,Green Bay Packers,U 50.5,
Sun,"Dec 27, 2015",4:26,@,Seattle Seahawks,L 17-23,L -12,,St Louis Rams,P 40,
Sun,"Dec 27, 2015",8:30,@,Minnesota Vikings,W 49-17,W -7,,New York Giants,O 44.5,
Mon,"Dec 28, 2015",8:30,@,Denver Broncos,W 20-17 (OT),P -3,,Cincinnati Bengals,U 39.5,
