Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Thu,"Oct 29, 2015",8:26,@,New England Patriots,W 36-7,W -7.5,,Miami Dolphins,U 50.5,
Sun,"Nov 1, 2015",9:36,N,Kansas City Chiefs,W 45-10,W -3.5,,Detroit Lions,O 45,at London
Sun,"Nov 1, 2015",1:00,,Minnesota Vikings,W 23-20,W -1,@,Chicago Bears,P 43,
Sun,"Nov 1, 2015",1:00,@,St Louis Rams,W 27-6,W -7.5,,San Francisco 49ers,U 39.5,
Sun,"Nov 1, 2015",1:02,@,Atlanta Falcons,L 20-23 (OT),L -7,,Tampa Bay Buccaneers,U 48.5,
Sun,"Nov 1, 2015",1:02,@,Baltimore Ravens,W 29-26,L -3.5,,San Diego Chargers,O 51,
Sun,"Nov 1, 2015",1:02,,Arizona Cardinals,W 34-20,W -6,@,Cleveland Browns,O 46,
Sun,"Nov 1, 2015",1:02,@,Houston Texans,W 20-6,W -3.5,,Tennessee Titans,U 42.5,
Sun,"Nov 1, 2015",1:02,@,New Orleans Saints,W 52-49,P -3,,New York Giants,O 49.5,
Sun,"Nov 1, 2015",1:02,@,Pittsburgh Steelers,L 10-16,L -1,,Cincinnati Bengals,U 48.5,
Sun,"Nov 1, 2015",4:05,,New York Jets,L 20-34,L -3,@,Oakland Raiders,O 44,
Sun,"Nov 1, 2015",4:25,,Seattle Seahawks,W 13-12,L -4.5,@,Dallas Cowboys,U 41,
Sun,"Nov 1, 2015",8:30,,Green Bay Packers,L 10-29,L -2.5,@,Denver Broncos,U 45.5,
Mon,"Nov 2, 2015",8:30,@,Carolina Panthers,W 29-26 (OT),L -6.5,,Indianapolis Colts,O 46.5,
