Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Nov 10, 2016",8:25,@,Baltimore Ravens,W 28-7,W -7.5,,Cleveland Browns,U 44,
Sun,"Nov 13, 2016",1:00,@,Carolina Panthers,L 17-20,L -3,,Kansas City Chiefs,U 44,
Sun,"Nov 13, 2016",1:00,@,Jacksonville Jaguars,L 21-24,L -3,,Houston Texans,O 42,
Sun,"Nov 13, 2016",1:00,@,New Orleans Saints,L 23-25,L -3,,Denver Broncos,U 50,
Sun,"Nov 13, 2016",1:00,,Los Angeles Rams,W 9-6,W -1,@,New York Jets,U 39,
Sun,"Nov 13, 2016",1:00,@,Philadelphia Eagles,W 24-15,W -2,,Atlanta Falcons,U 48.5,
Sun,"Nov 13, 2016",1:00,,Chicago Bears,L 10-36,L -2.5,@,Tampa Bay Buccaneers,O 45,
Sun,"Nov 13, 2016",1:00,,Green Bay Packers,L 25-47,L -3,@,Tennessee Titans,O 48.5,
Sun,"Nov 13, 2016",1:00,@,Washington Redskins,W 26-20,W -2.5,,Minnesota Vikings,O 42,
Sun,"Nov 13, 2016",4:05,@,San Diego Chargers,L 24-31,L -4,,Miami Dolphins,O 48.5,
Sun,"Nov 13, 2016",4:25,@,Arizona Cardinals,W 23-20,L -13.5,,San Francisco 49ers,U 46.5,
Sun,"Nov 13, 2016",4:25,@,Pittsburgh Steelers,L 30-35,L -3,,Dallas Cowboys,O 50.5,
Sun,"Nov 13, 2016",8:30,@,New England Patriots,L 24-31,L -7.5,,Seattle Seahawks,O 49.5,
Mon,"Nov 14, 2016",8:30,,Cincinnati Bengals,L 20-21,L -1,@,New York Giants,U 49.5,
