Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Dec 1, 2016",7:25,,Dallas Cowboys,W 17-15,L -3,@,Minnesota Vikings,U 43.5,
Sun,"Dec 4, 2016",1:00,@,Atlanta Falcons,L 28-29,L -5,,Kansas City Chiefs,O 50,
Sun,"Dec 4, 2016",1:00,@,Baltimore Ravens,W 38-6,W -3.5,,Miami Dolphins,O 41.5,
Sun,"Dec 4, 2016",1:00,@,Chicago Bears,W 26-6,W PK,,San Francisco 49ers,U 44,
Sun,"Dec 4, 2016",1:00,@,Cincinnati Bengals,W 32-14,W -2,,Philadelphia Eagles,O 42,
Sun,"Dec 4, 2016",1:00,@,Green Bay Packers,W 21-13,W -6.5,,Houston Texans,U 44.5,
Sun,"Dec 4, 2016",1:00,,Denver Broncos,W 20-10,W -3.5,@,Jacksonville Jaguars,U 38.5,
Sun,"Dec 4, 2016",1:00,@,New England Patriots,W 26-10,W -13,,Los Angeles Rams,U 44.5,
Sun,"Dec 4, 2016",1:00,@,New Orleans Saints,L 13-28,L -6.5,,Detroit Lions,U 53,
Sun,"Dec 4, 2016",4:05,@,Oakland Raiders,W 38-24,W -3,,Buffalo Bills,O 48.5,
Sun,"Dec 4, 2016",4:25,@,Arizona Cardinals,W 31-23,W -2.5,,Washington Redskins,O 48.5,
Sun,"Dec 4, 2016",4:25,@,Pittsburgh Steelers,W 24-14,W -6.5,,New York Giants,U 49.5,
Sun,"Dec 4, 2016",4:25,@,San Diego Chargers,L 21-28,L -3.5,,Tampa Bay Buccaneers,P 49,
Sun,"Dec 4, 2016",8:30,@,Seattle Seahawks,W 40-7,W -8,,Carolina Panthers,O 43.5,
Mon,"Dec 5, 2016",8:30,@,New York Jets,L 10-41,L -1,,Indianapolis Colts,O 48.5,
